Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1736519550973,10/01/2025 14:32:30,1736501550973,-5,10/01/2025 04:32:30,153647,18,task-7sj6,repeat-3dmk#4->-repeat-tj2w#5,42388550,BLIND,12371879,,complete,,6781280ac4e5de97d59a845d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1280x800,1280x712,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736519556955,10/01/2025 14:32:36,1736501556955,-5,10/01/2025 04:32:36,153647,18,task-7sj6,repeat-3dmk#4->-repeat-tj2w#5,42388550,BLIND,12371879,,complete,,6781280ac4e5de97d59a845d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1280x800,1280x712,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,5995.697999988079,5985.698,5995.697999988079,5995.697999988079,5985.698,5995.697999988079,1,5995.697999988079,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,69
3,1736519556956,10/01/2025 14:32:36,1736501556956,-5,10/01/2025 04:32:36,153647,18,task-7sj6,repeat-3dmk#4->-repeat-tj2w#5,42388550,BLIND,12371879,,complete,,6781280ac4e5de97d59a845d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1280x800,1280x712,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,5967,,,,0,,,,,,,,,,,
1,1736519558150,10/01/2025 14:32:38,1736490758150,-8,09/01/2025 22:32:38,153647,18,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,42388554,BLIND,12371916,,complete,,6781280748708cd024ca77da,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x919,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736519560966,10/01/2025 14:32:40,1736490760966,-8,09/01/2025 22:32:40,153647,18,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,42388554,BLIND,12371916,,complete,,6781280748708cd024ca77da,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x919,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2839.8899999880787,2833.1899999999996,2839.8899999880787,2839.8899999880787,2833.1899999999996,2839.8899999880787,1,2839.8899999880787,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,74
3,1736519560968,10/01/2025 14:32:40,1736490760968,-8,09/01/2025 22:32:40,153647,18,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,42388554,BLIND,12371916,,complete,,6781280748708cd024ca77da,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x919,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2790,,,,0,,,,,,,,,,,
1,1736519624055,10/01/2025 14:33:44,1736501624055,-5,10/01/2025 04:33:44,153647,18,task-7sj6,repeat-3dmk#3->-repeat-tj2w#4,42388597,BLIND,12371855,,complete,,678128057cb5864bece881ef,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1093x513,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736519630026,10/01/2025 14:33:50,1736501630026,-5,10/01/2025 04:33:50,153647,18,task-7sj6,repeat-3dmk#3->-repeat-tj2w#4,42388597,BLIND,12371855,,complete,,678128057cb5864bece881ef,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1093x513,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,5997.504000286102,5983.404,5997.504000286102,5997.504000286102,5983.404,5997.504000286102,1,5997.504000286102,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,69
3,1736519630031,10/01/2025 14:33:50,1736501630031,-5,10/01/2025 04:33:50,153647,18,task-7sj6,repeat-3dmk#3->-repeat-tj2w#4,42388597,BLIND,12371855,,complete,,678128057cb5864bece881ef,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1093x513,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,5948,,,,0,,,,,,,,,,,
1,1736519702128,10/01/2025 14:35:02,1736501702128,-5,10/01/2025 04:35:02,153647,18,task-7sj6,repeat-3dmk#5->-repeat-tj2w#4,42388648,BLIND,12371861,,complete,,6781280410f2e5f8a90f8a07,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1300x730,1300x596,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
