Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1736518849754,10/01/2025 14:20:49,1736497249754,-6,10/01/2025 02:20:49,153647,18,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,42387991,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736518851196,10/01/2025 14:20:51,1736497251196,-6,10/01/2025 02:20:51,153647,18,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,42387991,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1446.4399999999996,1439.6999999999998,1446.4399999999996,1446.4399999999996,1439.6999999999998,1446.4399999999996,1,1446.4399999999996,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,67
3,1736518851197,10/01/2025 14:20:51,1736497251197,-6,10/01/2025 02:20:51,153647,18,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,42387991,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1424,,,,0,,,,,,,,,,,
1,1736518893928,10/01/2025 14:21:33,1736497293928,-6,10/01/2025 02:21:33,153647,18,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,42388036,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736518895114,10/01/2025 14:21:35,1736497295114,-6,10/01/2025 02:21:35,153647,18,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,42388036,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1191.1399999999999,1187.1,1191.1399999999999,1191.1399999999999,1187.1,1191.1399999999999,1,1191.1399999999999,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,67
3,1736518895115,10/01/2025 14:21:35,1736497295115,-6,10/01/2025 02:21:35,153647,18,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,42388036,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1158,,,,0,,,,,,,,,,,
1,1736519114597,10/01/2025 14:25:14,1736497514597,-6,10/01/2025 02:25:14,153647,18,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,42388217,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736519122937,10/01/2025 14:25:22,1736497522937,-6,10/01/2025 02:25:22,153647,18,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,42388217,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,8365.242,8348.642,8365.242,8365.242,8348.642,8365.242,1,8365.242,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,66
3,1736519122938,10/01/2025 14:25:22,1736497522938,-6,10/01/2025 02:25:22,153647,18,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,42388217,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,8323,,,,0,,,,,,,,,,,
1,1736519307693,10/01/2025 14:28:27,1736497707693,-6,10/01/2025 02:28:27,153647,18,task-lon4,repeat-3dmk#3->-repeat-ku6w#2,42388378,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
