Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1736518769171,10/01/2025 14:19:29,1736497169171,-6,10/01/2025 02:19:29,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736518771039,10/01/2025 14:19:31,1736497171039,-6,10/01/2025 02:19:31,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1024.1399999999994,1015.8199999999997,1024.1399999999994,1024.1399999999994,1015.8199999999997,1024.1399999999994,1,1024.1399999999994,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1736518782474,10/01/2025 14:19:42,1736497182474,-6,10/01/2025 02:19:42,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,11443.52,11439.18,11443.52,11443.52,11439.18,11443.52,1,11443.52,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1736518785971,10/01/2025 14:19:45,1736497185971,-6,10/01/2025 02:19:45,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,3502.34,3498.7999999999993,3502.34,3502.34,3498.7999999999993,3502.34,1,3502.34,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1736518793541,10/01/2025 14:19:53,1736497193541,-6,10/01/2025 02:19:53,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,7574.540000000001,7572.2800000000025,7574.540000000001,7574.540000000001,7572.2800000000025,7574.540000000001,1,7574.540000000001,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736518801345,10/01/2025 14:20:01,1736497201345,-6,10/01/2025 02:20:01,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,7806.259999999998,7798.48,7806.259999999998,7806.259999999998,7798.48,7806.259999999998,1,7806.259999999998,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736518801346,10/01/2025 14:20:01,1736497201346,-6,10/01/2025 02:20:01,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42387919,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,32100,,,,0,,,,,,,,,,,,,,,,
1,1736518856616,10/01/2025 14:20:56,1736497256616,-6,10/01/2025 02:20:56,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388003,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736518857912,10/01/2025 14:20:57,1736497257912,-6,10/01/2025 02:20:57,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388003,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1207.3399999999997,1199.02,1207.3399999999997,1207.3399999999997,1199.02,1207.3399999999997,1,1207.3399999999997,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1736518859434,10/01/2025 14:20:59,1736497259434,-6,10/01/2025 02:20:59,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388003,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,1531.4,1523.7400000000002,1531.4,1531.4,1523.7400000000002,1531.4,1,1531.4,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
