Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1736880348510,14/01/2025 18:45:48,1736855148510,-7,14/01/2025 04:45:48,153647,19,task-2yvf,repeat-3dmk#1->-repeat-ku6w#2->-repeat-bbex#2,42475892,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Advance (Subj) ,2,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736880349909,14/01/2025 18:45:49,1736855149909,-7,14/01/2025 04:45:49,153647,19,task-2yvf,repeat-3dmk#1->-repeat-ku6w#2->-repeat-bbex#2,42475892,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Advance (Subj) ,2,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1433.2999999999993,1416.6999999999998,1433.2999999999993,1433.2999999999993,1416.6999999999998,1433.2999999999993,1,1433.2999999999993,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,59
3,1736880349910,14/01/2025 18:45:49,1736855149910,-7,14/01/2025 04:45:49,153647,19,task-2yvf,repeat-3dmk#1->-repeat-ku6w#2->-repeat-bbex#2,42475892,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Advance (Subj) ,2,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1373,,,,0,,,,,,,,,,,
1,1736880622803,14/01/2025 18:50:22,1736859022803,-6,14/01/2025 06:50:22,153647,19,task-2yvf,repeat-3dmk#2->-repeat-ku6w#1->-repeat-bbex#3,42476000,BLIND,12393714,,complete,,6786ab72b72bf916222339d8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2049x976,,,0,Advance (Subj) ,2,Inaccurate~Accurate,1,Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736880624309,14/01/2025 18:50:24,1736859024309,-6,14/01/2025 06:50:24,153647,19,task-2yvf,repeat-3dmk#2->-repeat-ku6w#1->-repeat-bbex#3,42476000,BLIND,12393714,,complete,,6786ab72b72bf916222339d8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2049x976,,,0,Advance (Subj) ,2,Inaccurate~Accurate,1,Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1527.3740000000007,1510.7740000000003,1527.3740000000007,1527.3740000000007,1510.7740000000003,1527.3740000000007,1,1527.3740000000007,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,64
3,1736880624310,14/01/2025 18:50:24,1736859024310,-6,14/01/2025 06:50:24,153647,19,task-2yvf,repeat-3dmk#2->-repeat-ku6w#1->-repeat-bbex#3,42476000,BLIND,12393714,,complete,,6786ab72b72bf916222339d8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2049x976,,,0,Advance (Subj) ,2,Inaccurate~Accurate,1,Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1485,,,,0,,,,,,,,,,,
1,1736880686990,14/01/2025 18:51:26,1736862686990,-5,14/01/2025 08:51:26,153647,19,task-2yvf,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#3,42476027,BLIND,12393689,,complete,,6786aaf5a728d9311a5fb18e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x717,,,0,Advance (Subj) ,2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736880690234,14/01/2025 18:51:30,1736862690234,-5,14/01/2025 08:51:30,153647,19,task-2yvf,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#3,42476027,BLIND,12393689,,complete,,6786aaf5a728d9311a5fb18e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x717,,,0,Advance (Subj) ,2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,8243,8227.7,8243,8243,8227.7,8243,1,8243,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,62
3,1736880690235,14/01/2025 18:51:30,1736862690235,-5,14/01/2025 08:51:30,153647,19,task-2yvf,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#3,42476027,BLIND,12393689,,complete,,6786aaf5a728d9311a5fb18e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x717,,,0,Advance (Subj) ,2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3235,,,,0,,,,,,,,,,,
1,1736882370518,14/01/2025 19:19:30,1736853570518,-8,14/01/2025 03:19:30,153647,19,task-2yvf,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42476785,BLIND,12393685,,complete,,6786aaf475daa490845831e6,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,1280x593,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1736882373977,14/01/2025 19:19:33,1736853573977,-8,14/01/2025 03:19:33,153647,19,task-2yvf,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42476785,BLIND,12393685,,complete,,6786aaf475daa490845831e6,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,1280x593,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3471.3720000000003,3457.772,3471.3720000000003,3471.3720000000003,3457.772,3471.3720000000003,1,3471.3720000000003,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,68
3,1736882373984,14/01/2025 19:19:33,1736853573984,-8,14/01/2025 03:19:33,153647,19,task-2yvf,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42476785,BLIND,12393685,,complete,,6786aaf475daa490845831e6,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,1280x593,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3443,,,,0,,,,,,,,,,,
