Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1737121432504,17/01/2025 13:43:52,1737103432504,-5,17/01/2025 03:43:52,153647,19,task-4d82,repeat-3dmk#4->-repeat-ku6w#2,42544027,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737121436139,17/01/2025 13:43:56,1737103436139,-5,17/01/2025 03:43:56,153647,19,task-4d82,repeat-3dmk#4->-repeat-ku6w#2,42544027,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3637.76,3629.1800000000003,3637.76,3637.76,3629.1800000000003,3637.76,1,3637.76,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,67
3,1737121436142,17/01/2025 13:43:56,1737103436142,-5,17/01/2025 03:43:56,153647,19,task-4d82,repeat-3dmk#4->-repeat-ku6w#2,42544027,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3626,,,,0,,,,,,,,,,,
1,1737123077106,17/01/2025 14:11:17,1737105077106,-5,17/01/2025 04:11:17,153647,19,task-4d82,repeat-3dmk#4->-repeat-ku6w#4,42545023,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737123078760,17/01/2025 14:11:18,1737105078760,-5,17/01/2025 04:11:18,153647,19,task-4d82,repeat-3dmk#4->-repeat-ku6w#4,42545023,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3843,3827,3843,3843,3827,3843,1,3843,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,60
3,1737123078761,17/01/2025 14:11:18,1737105078761,-5,17/01/2025 04:11:18,153647,19,task-4d82,repeat-3dmk#4->-repeat-ku6w#4,42545023,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1646,,,,0,,,,,,,,,,,
1,1737125905293,17/01/2025 14:58:25,1737107905293,-5,17/01/2025 04:58:25,153647,19,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,42547209,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737125908469,17/01/2025 14:58:28,1737107908469,-5,17/01/2025 04:58:28,153647,19,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,42547209,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3199.032000000001,3182.532000000001,3199.032000000001,3199.032000000001,3182.532000000001,3199.032000000001,1,3199.032000000001,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,64
3,1737125908470,17/01/2025 14:58:28,1737107908470,-5,17/01/2025 04:58:28,153647,19,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,42547209,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3150,,,,0,,,,,,,,,,,
1,1737126394471,17/01/2025 15:06:34,1737097594471,-8,16/01/2025 23:06:34,153647,19,task-4d82,repeat-3dmk#3->-repeat-ku6w#4,42547655,BLIND,12413015,,complete,,678a60cb12c49300d3e8bc39,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,958x944,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
