Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1737123545689,17/01/2025 14:19:05,1737105545689,-5,17/01/2025 04:19:05,153647,19,task-78js,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545283,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Retry (subj),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737123554576,17/01/2025 14:19:14,1737105554576,-5,17/01/2025 04:19:14,153647,19,task-78js,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545283,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Retry (subj),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,8902.524,8893.224,8902.524,8902.524,8893.224,8902.524,1,8902.524,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,60
3,1737123554577,17/01/2025 14:19:14,1737105554577,-5,17/01/2025 04:19:14,153647,19,task-78js,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545283,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Retry (subj),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,8877,,,,0,,,,,,,,,,,
1,1737123647817,17/01/2025 14:20:47,1737105647817,-5,17/01/2025 04:20:47,153647,19,task-78js,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545334,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Retry (subj),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737123648895,17/01/2025 14:20:48,1737105648895,-5,17/01/2025 04:20:48,153647,19,task-78js,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545334,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Retry (subj),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1086.034,1082.234,1086.034,1086.034,1082.234,1086.034,1,1086.034,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,60
3,1737123648896,17/01/2025 14:20:48,1737105648896,-5,17/01/2025 04:20:48,153647,19,task-78js,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545334,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Retry (subj),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1069,,,,0,,,,,,,,,,,
1,1737126539026,17/01/2025 15:08:59,1737108539026,-5,17/01/2025 05:08:59,153647,19,task-78js,repeat-3dmk#2->-repeat-ku6w#2->-repeat-bbex#1,42547795,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Retry (subj),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737126541621,17/01/2025 15:09:01,1737108541621,-5,17/01/2025 05:09:01,153647,19,task-78js,repeat-3dmk#2->-repeat-ku6w#2->-repeat-bbex#1,42547795,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Retry (subj),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2608.299999928475,2599.300000000001,2608.299999928475,2608.299999928475,2599.300000000001,2608.299999928475,1,2608.299999928475,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,64
3,1737126541622,17/01/2025 15:09:01,1737108541622,-5,17/01/2025 05:09:01,153647,19,task-78js,repeat-3dmk#2->-repeat-ku6w#2->-repeat-bbex#1,42547795,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Retry (subj),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2582,,,,0,,,,,,,,,,,
1,1737126739159,17/01/2025 15:12:19,1737108739159,-5,17/01/2025 05:12:19,153647,19,task-78js,repeat-3dmk#2->-repeat-ku6w#2->-repeat-bbex#2,42548001,BLIND,12413025,,complete,,678a66cca6cbaaaa7143eefe,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1205x944,,,0,Retry (subj),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
