Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1737121641581,17/01/2025 13:47:21,1737103641581,-5,17/01/2025 03:47:21,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1737121649186,17/01/2025 13:47:29,1737103649186,-5,17/01/2025 03:47:29,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,6609.6,6606.1,6609.6,6609.6,6606.1,6609.6,1,6609.6,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1737121658705,17/01/2025 13:47:38,1737103658705,-5,17/01/2025 03:47:38,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 5,e3ks8t,2,continue,,9522.5,9516.119999999999,9522.5,9522.5,9516.119999999999,9522.5,1,9522.5,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,,,,,,,,,
4,1737121680991,17/01/2025 13:48:00,1737103680991,-5,17/01/2025 03:48:00,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,3,continue,,22293.38,22278.540000000005,22293.38,22293.38,22278.540000000005,22293.38,1,22293.38,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
5,1737121681009,17/01/2025 13:48:01,1737103681009,-5,17/01/2025 03:48:01,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,info,,16.720000000001164,0,16.720000000001164,16.720000000001164,0,16.720000000001164,1,16.720000000001164,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
6,1737121700866,17/01/2025 13:48:20,1737103700866,-5,17/01/2025 03:48:20,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,continue,,19887.019999999997,19870.299999999996,19887.019999999997,19887.019999999997,19870.299999999996,19887.019999999997,1,19887.019999999997,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
7,1737121700869,17/01/2025 13:48:20,1737103700869,-5,17/01/2025 03:48:20,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,response,,19887.019999999997,19870.299999999996,19887.019999999997,19887.019999999997,19870.299999999996,19887.019999999997,1,19887.019999999997,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
8,1737121700880,17/01/2025 13:48:20,1737103700880,-5,17/01/2025 03:48:20,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,info,,16.720000000001164,0,16.720000000001164,16.720000000001164,0,16.720000000001164,1,16.720000000001164,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
9,1737121727130,17/01/2025 13:48:47,1737103727130,-5,17/01/2025 03:48:47,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,continue,,26281.54,26275.739999999998,26281.54,26281.54,26275.739999999998,26281.54,1,26281.54,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
10,1737121727131,17/01/2025 13:48:47,1737103727131,-5,17/01/2025 03:48:47,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#2->-repeat-bbex#1,42544187,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,response,,26283.54,26275.739999999998,26283.54,26283.54,26275.739999999998,26283.54,1,26283.54,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
