Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1737121693276,17/01/2025 13:48:13,1737103693276,-5,17/01/2025 03:48:13,153647,19,task-bypn,repeat-3dmk#2->-repeat-tj2w#1->-repeat-bh4w#1,42544185,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Advance (Subj) ,2,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737121696006,17/01/2025 13:48:16,1737103696006,-5,17/01/2025 03:48:16,153647,19,task-bypn,repeat-3dmk#2->-repeat-tj2w#1->-repeat-bh4w#1,42544185,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Advance (Subj) ,2,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2742.899999976158,2733.3999999999996,2742.899999976158,2742.899999976158,2733.3999999999996,2742.899999976158,1,2742.899999976158,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,58
3,1737121696007,17/01/2025 13:48:16,1737103696007,-5,17/01/2025 03:48:16,153647,19,task-bypn,repeat-3dmk#2->-repeat-tj2w#1->-repeat-bh4w#1,42544185,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Advance (Subj) ,2,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2719,,,,0,,,,,,,,,,,
1,1737122533844,17/01/2025 14:02:13,1737100933844,-6,17/01/2025 02:02:13,153647,19,task-bypn,repeat-3dmk#4->-repeat-tj2w#2->-repeat-bh4w#4,42544743,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737122535856,17/01/2025 14:02:15,1737100935856,-6,17/01/2025 02:02:15,153647,19,task-bypn,repeat-3dmk#4->-repeat-tj2w#2->-repeat-bh4w#4,42544743,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2042.6720000000005,2026.1720000000005,2042.6720000000005,2042.6720000000005,2026.1720000000005,2042.6720000000005,1,2042.6720000000005,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,70
3,1737122535859,17/01/2025 14:02:15,1737100935859,-6,17/01/2025 02:02:15,153647,19,task-bypn,repeat-3dmk#4->-repeat-tj2w#2->-repeat-bh4w#4,42544743,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1982,,,,0,,,,,,,,,,,
1,1737122920926,17/01/2025 14:08:40,1737104920926,-5,17/01/2025 04:08:40,153647,19,task-bypn,repeat-3dmk#3->-repeat-tj2w#5->-repeat-bh4w#1,42544913,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737122999116,17/01/2025 14:09:59,1737104999116,-5,17/01/2025 04:09:59,153647,19,task-bypn,repeat-3dmk#3->-repeat-tj2w#5->-repeat-bh4w#1,42544913,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,78203.6,78195.98000000001,78203.6,78203.6,78195.98000000001,78203.6,1,78203.6,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,65
3,1737122999129,17/01/2025 14:09:59,1737104999129,-5,17/01/2025 04:09:59,153647,19,task-bypn,repeat-3dmk#3->-repeat-tj2w#5->-repeat-bh4w#1,42544913,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,78184,,,,0,,,,,,,,,,,
1,1737126135712,17/01/2025 15:02:15,1737097335712,-8,16/01/2025 23:02:15,153647,19,task-bypn,repeat-3dmk#3->-repeat-tj2w#3->-repeat-bh4w#3,42547412,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Advance (Subj) ,2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
