Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1737121758862,17/01/2025 13:49:18,1737100158862,-6,17/01/2025 01:49:18,153647,19,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,42544240,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737121760448,17/01/2025 13:49:20,1737100160448,-6,17/01/2025 01:49:20,153647,19,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,42544240,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1600.4280000238423,1597.4280000000008,1600.4280000238423,1600.4280000238423,1597.4280000000008,1600.4280000238423,1,1600.4280000238423,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,70
3,1737121760451,17/01/2025 13:49:20,1737100160451,-6,17/01/2025 01:49:20,153647,19,task-mkiw,repeat-3dmk#4->-repeat-tj2w#1,42544240,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1570,,,,0,,,,,,,,,,,
1,1737121784749,17/01/2025 13:49:44,1737103784749,-5,17/01/2025 03:49:44,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,42544248,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737121787256,17/01/2025 13:49:47,1737103787256,-5,17/01/2025 03:49:47,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,42544248,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2518.5600000000013,2515.760000000002,2518.5600000000013,2518.5600000000013,2515.760000000002,2518.5600000000013,1,2518.5600000000013,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,65
3,1737121787259,17/01/2025 13:49:47,1737103787259,-5,17/01/2025 03:49:47,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,42544248,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2491,,,,0,,,,,,,,,,,
1,1737121914068,17/01/2025 13:51:54,1737103914068,-5,17/01/2025 03:51:54,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#2,42544357,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737121927951,17/01/2025 13:52:07,1737103927951,-5,17/01/2025 03:52:07,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#2,42544357,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,13895.18,13878.52,13895.18,13895.18,13878.52,13895.18,1,13895.18,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,65
3,1737121927955,17/01/2025 13:52:07,1737103927955,-5,17/01/2025 03:52:07,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#2,42544357,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,13861,,,,0,,,,,,,,,,,
1,1737122086214,17/01/2025 13:54:46,1737104086214,-5,17/01/2025 03:54:46,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#3,42544476,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737122089216,17/01/2025 13:54:49,1737104089216,-5,17/01/2025 03:54:49,153647,19,task-mkiw,repeat-3dmk#3->-repeat-tj2w#3,42544476,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3010.1800000000003,2999.0999999999985,3010.1800000000003,3010.1800000000003,2999.0999999999985,3010.1800000000003,1,3010.1800000000003,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,65
