Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1737121242613,17/01/2025 13:40:42,1737103242613,-5,17/01/2025 03:40:42,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737121247439,17/01/2025 13:40:47,1737103247439,-5,17/01/2025 03:40:47,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,4840.700000095368,4833.3,4840.700000095368,4840.700000095368,4833.3,4840.700000095368,1,4840.700000095368,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737121250431,17/01/2025 13:40:50,1737103250431,-5,17/01/2025 03:40:50,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.4000000953674,2999.7000000000007,3000.4000000953674,3000.4000000953674,2999.7000000000007,3000.4000000953674,1,3000.4000000953674,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737121252353,17/01/2025 13:40:52,1737103252353,-5,17/01/2025 03:40:52,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,1922.6000000715248,1916.699999999999,1922.6000000715248,1922.6000000715248,1916.699999999999,1922.6000000715248,1,1922.6000000715248,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737121263386,17/01/2025 13:41:03,1737103263386,-5,17/01/2025 03:41:03,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,10038.800000095367,10032.199999999999,10038.800000095367,10038.800000095367,10032.199999999999,10038.800000095367,1,10038.800000095367,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1737121277442,17/01/2025 13:41:17,1737103277442,-5,17/01/2025 03:41:17,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,13060.7,13049.8,13060.7,13060.7,13049.8,13060.7,1,13060.7,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1737121278432,17/01/2025 13:41:18,1737103278432,-5,17/01/2025 03:41:18,153647,19,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,42543844,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,35778,,,,0,,,,,,,,,,,,,,,,,
1,1737121712363,17/01/2025 13:48:32,1737103712363,-5,17/01/2025 03:48:32,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737121720381,17/01/2025 13:48:40,1737103720381,-5,17/01/2025 03:48:40,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,8024.48,8014.419999999998,8024.48,8024.48,8014.419999999998,8024.48,1,8024.48,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737121723371,17/01/2025 13:48:43,1737103723371,-5,17/01/2025 03:48:43,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.0600000000013,2999.100000000002,3001.0600000000013,3001.0600000000013,2999.100000000002,3001.0600000000013,1,3001.0600000000013,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737121725761,17/01/2025 13:48:45,1737103725761,-5,17/01/2025 03:48:45,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,2391.959999999999,2382.619999999999,2391.959999999999,2391.959999999999,2382.619999999999,2391.959999999999,1,2391.959999999999,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737121734817,17/01/2025 13:48:54,1737103734817,-5,17/01/2025 03:48:54,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,8065.639999999999,8064.699999999997,8065.639999999999,8065.639999999999,8064.699999999997,8065.639999999999,0,8065.639999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1737121750307,17/01/2025 13:49:10,1737103750307,-5,17/01/2025 03:49:10,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,14490.239999999998,14479.119999999995,14490.239999999998,14490.239999999998,14479.119999999995,14490.239999999998,1,14490.239999999998,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1737121751296,17/01/2025 13:49:11,1737103751296,-5,17/01/2025 03:49:11,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42544186,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,38866,,,,0,,,,,,,,,,,,,,,,,
1,1737121714013,17/01/2025 13:48:34,1737100114013,-6,17/01/2025 01:48:34,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42544201,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
