Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1737475681552,21/01/2025 16:08:01,1737457681552,-5,21/01/2025 06:08:01,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42631228,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1737475691526,21/01/2025 16:08:11,1737457691526,-5,21/01/2025 06:08:11,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#2,42631228,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,END,9938,,,,
1,1737476148469,21/01/2025 16:15:48,1737454548469,-6,21/01/2025 04:15:48,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2->-repeat-bbex#1,42631552,BLIND,12435273,,complete,,678fbf418039afce3607ec39,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1396x632,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1737476155737,21/01/2025 16:15:55,1737454555737,-6,21/01/2025 04:15:55,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2->-repeat-bbex#1,42631552,BLIND,12435273,,complete,,678fbf418039afce3607ec39,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1396x632,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,,,,,info,,END,7245,,,,
1,1737476603433,21/01/2025 16:23:23,1737455003433,-6,21/01/2025 04:23:23,153647,19,questionnaire-vj9b,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42631793,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1737476622145,21/01/2025 16:23:42,1737455022145,-6,21/01/2025 04:23:42,153647,19,questionnaire-vj9b,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42631793,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,END,18677,,,,
1,1737476764808,21/01/2025 16:26:04,1737458764808,-5,21/01/2025 06:26:04,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#3->-repeat-bbex#3,42631888,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1737476779154,21/01/2025 16:26:19,1737458779154,-5,21/01/2025 06:26:19,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#3->-repeat-bbex#3,42631888,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,END,14284,,,,
1,1737477010300,21/01/2025 16:30:10,1737448210300,-8,21/01/2025 00:30:10,153647,19,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#2->-repeat-bh4w#1,42632011,BLIND,12435184,,complete,,678fbdae4517087201af1442,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x641,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,,,,,info,,BEGIN,,,,,
2,1737477027024,21/01/2025 16:30:27,1737448227024,-8,21/01/2025 00:30:27,153647,19,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#2->-repeat-bh4w#1,42632011,BLIND,12435184,,complete,,678fbdae4517087201af1442,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x641,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,,,,,info,,END,16682,,,,
