Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1737474586912,21/01/2025 15:49:46,1737456586912,-5,21/01/2025 05:49:46,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737474595600,21/01/2025 15:49:55,1737456595600,-5,21/01/2025 05:49:55,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,7419.4,7412.699999999999,7419.4,7419.4,7412.699999999999,7419.4,1,7419.4,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737474613453,21/01/2025 15:50:13,1737456613453,-5,21/01/2025 05:50:13,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,17861.50000001192,17856.8,17861.50000001192,17861.50000001192,17856.8,17861.50000001192,1,17861.50000001192,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1737474627809,21/01/2025 15:50:27,1737456627809,-5,21/01/2025 05:50:27,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,14358.900000000009,14342.200000000004,14358.900000000009,14358.900000000009,14342.200000000004,14358.900000000009,1,14358.900000000009,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1737474642502,21/01/2025 15:50:42,1737456642502,-5,21/01/2025 05:50:42,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,14711.000000011918,14708.599999999999,14711.000000011918,14711.000000011918,14708.599999999999,14711.000000011918,1,14711.000000011918,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1737474643812,21/01/2025 15:50:43,1737456643812,-5,21/01/2025 05:50:43,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,1312.4999999761567,1299.199999999997,1312.4999999761567,1312.4999999761567,1299.199999999997,1312.4999999761567,1,1312.4999999761567,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1737474643815,21/01/2025 15:50:43,1737456643815,-5,21/01/2025 05:50:43,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42630389,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,56808,,,,0,,,,,,,,,,,,,,,,
1,1737474717997,21/01/2025 15:51:57,1737456717997,-5,21/01/2025 05:51:57,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737474720156,21/01/2025 15:52:00,1737456720156,-5,21/01/2025 05:52:00,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2040.8000000000002,2032.3000000000002,2040.8000000000002,2040.8000000000002,2032.3000000000002,2040.8000000000002,1,2040.8000000000002,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737474723090,21/01/2025 15:52:03,1737456723090,-5,21/01/2025 05:52:03,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,2942.5,2931.7999999999993,2942.5,2942.5,2931.7999999999993,2942.5,1,2942.5,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
