Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1737475010330,21/01/2025 15:56:50,1737457010330,-5,21/01/2025 05:56:50,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1737475015282,21/01/2025 15:56:55,1737457015282,-5,21/01/2025 05:56:55,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,4076.2999999999993,4064.3999999999996,4076.2999999999993,4076.2999999999993,4064.3999999999996,4076.2999999999993,1,4076.2999999999993,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1737475020314,21/01/2025 15:57:00,1737457020314,-5,21/01/2025 05:57:00,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 5,e3ks8t,2,continue,,5044.600000047683,5030.6,5044.600000047683,5044.600000047683,5030.6,5044.600000047683,1,5044.600000047683,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,,,,,,,,,
4,1737475030595,21/01/2025 15:57:10,1737457030595,-5,21/01/2025 05:57:10,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,3,continue,,10294.400000000001,10277.7,10294.400000000001,10294.400000000001,10277.7,10294.400000000001,1,10294.400000000001,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
5,1737475030647,21/01/2025 15:57:10,1737457030647,-5,21/01/2025 05:57:10,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
6,1737475038022,21/01/2025 15:57:18,1737457038022,-5,21/01/2025 05:57:18,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,continue,,7433.5999999999985,7429.4000000000015,7433.5999999999985,7433.5999999999985,7429.4000000000015,7433.5999999999985,1,7433.5999999999985,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
7,1737475038023,21/01/2025 15:57:18,1737457038023,-5,21/01/2025 05:57:18,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,response,,7445.5999999999985,7429.4000000000015,7445.5999999999985,7445.5999999999985,7429.4000000000015,7445.5999999999985,1,7445.5999999999985,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
8,1737475038040,21/01/2025 15:57:18,1737457038040,-5,21/01/2025 05:57:18,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,info,,16.80000000000291,0,16.80000000000291,16.80000000000291,0,16.80000000000291,1,16.80000000000291,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
9,1737475044873,21/01/2025 15:57:24,1737457044873,-5,21/01/2025 05:57:24,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,continue,,6864.699999999997,6862.699999999997,6864.699999999997,6864.699999999997,6862.699999999997,6864.699999999997,1,6864.699999999997,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
10,1737475044879,21/01/2025 15:57:24,1737457044879,-5,21/01/2025 05:57:24,153647,19,task-u8ly,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#1,42630752,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Subjective rating Practice,6,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,response,,6871.800000023839,6862.699999999997,6871.800000023839,6871.800000023839,6862.699999999997,6871.800000023839,1,6871.800000023839,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
