Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1737474738050,21/01/2025 15:52:18,1737456738050,-5,21/01/2025 05:52:18,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737474740746,21/01/2025 15:52:20,1737456740746,-5,21/01/2025 05:52:20,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,2706.680000011921,2699.08,2706.680000011921,2706.680000011921,2699.08,2706.680000011921,1,2706.680000011921,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737474743736,21/01/2025 15:52:23,1737456743736,-5,21/01/2025 05:52:23,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2998.6999999761583,2997.4000000000005,2998.6999999761583,2998.6999999761583,2997.4000000000005,2998.6999999761583,1,2998.6999999761583,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737474753624,21/01/2025 15:52:33,1737456753624,-5,21/01/2025 05:52:33,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,9888.500000023841,9872.499999999998,9888.500000023841,9888.500000023841,9872.499999999998,9888.500000023841,1,9888.500000023841,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737474761922,21/01/2025 15:52:41,1737456761922,-5,21/01/2025 05:52:41,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,7308.799999988078,7303.299999999999,7308.799999988078,7308.799999988078,7303.299999999999,7308.799999988078,0,7308.799999988078,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1737474772890,21/01/2025 15:52:52,1737456772890,-5,21/01/2025 05:52:52,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,1,9966.80000000001,9950.200000000004,9966.80000000001,9966.80000000001,9950.200000000004,9966.80000000001,0,9966.80000000001,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,3
7,1737474773878,21/01/2025 15:52:53,1737456773878,-5,21/01/2025 05:52:53,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,42630540,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,35730,,,,0,,,,,,,,,,,,,,,,,
1,1737474853156,21/01/2025 15:54:13,1737456853156,-5,21/01/2025 05:54:13,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,42630644,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737474856825,21/01/2025 15:54:16,1737456856825,-5,21/01/2025 05:54:16,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,42630644,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,3683.400000035763,3678.8999999999996,3683.400000035763,3683.400000035763,3678.8999999999996,3683.400000035763,1,3683.400000035763,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737474859823,21/01/2025 15:54:19,1737456859823,-5,21/01/2025 05:54:19,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,42630644,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3002.800000047684,3000.8999999999996,3002.800000047684,3002.800000047684,3000.8999999999996,3002.800000047684,1,3002.800000047684,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
