Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: memory,Spreadsheet: randomise,Spreadsheet: img,Manipulation: Spreadsheet
1,1737474863525,21/01/2025 15:54:23,1737456863525,-5,21/01/2025 05:54:23,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1737474871594,21/01/2025 15:54:31,1737456871594,-5,21/01/2025 05:54:31,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,1,image,Screen 3,zz7hbh,1,response,4,6291.800000023843,6279.700000000001,6291.800000023843,6291.800000023843,6279.700000000001,6291.800000023843,1,6291.800000023843,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,2aa7d16216672ee000ee2bd2adac4cfc.jpg,
3,1737474872548,21/01/2025 15:54:32,1737456872548,-5,21/01/2025 05:54:32,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,2,image,Screen 3,zz7hbh,1,response,4,966.2000000000007,949.5,966.2000000000007,966.2000000000007,949.5,966.2000000000007,1,966.2000000000007,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,1f9a82ccaf0a33edbbaab571d60d0058.jpg,
4,1737474873209,21/01/2025 15:54:33,1737456873209,-5,21/01/2025 05:54:33,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,3,image,Screen 3,zz7hbh,1,response,4,678.8000000119209,666.2999999999993,678.8000000119209,678.8000000119209,666.2999999999993,678.8000000119209,1,678.8000000119209,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,feda202ca3d6bfd1aeb0da37fdc38a57.jpg,
5,1737474873757,21/01/2025 15:54:33,1737456873757,-5,21/01/2025 05:54:33,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,4,image,Screen 3,zz7hbh,1,response,4,560.5000000119217,549.7000000000007,560.5000000119217,560.5000000119217,549.7000000000007,560.5000000119217,1,560.5000000119217,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,feed528bc121918ffce4f02bd1d6f2f4.jpg,
6,1737474875868,21/01/2025 15:54:35,1737456875868,-5,21/01/2025 05:54:35,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,5,image,Screen 3,zz7hbh,1,response,1,2121.899999976158,2115.5,2121.899999976158,2121.899999976158,2115.5,2121.899999976158,1,2121.899999976158,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,fe05bcff562f480c546995c681444a88.jpg,
7,1737474876966,21/01/2025 15:54:36,1737456876966,-5,21/01/2025 05:54:36,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,6,image,Screen 3,zz7hbh,1,response,4,1103.800000011921,1099.2999999999993,1103.800000011921,1103.800000011921,1099.2999999999993,1103.800000011921,1,1103.800000011921,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,3f2fd9474f29da0b50ff9286b429bbc0.jpg,
8,1737474878608,21/01/2025 15:54:38,1737456878608,-5,21/01/2025 05:54:38,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,7,image,Screen 3,zz7hbh,1,response,4,1646.8999999880798,1632.5,1646.8999999880798,1646.8999999880798,1632.5,1646.8999999880798,1,1646.8999999880798,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,NegMidNonsoc_16.jpg,
9,1737474879694,21/01/2025 15:54:39,1737456879694,-5,21/01/2025 05:54:39,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,8,image,Screen 3,zz7hbh,1,response,1,1099.2999999999993,1082.7000000000007,1099.2999999999993,1099.2999999999993,1082.7000000000007,1099.2999999999993,1,1099.2999999999993,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,4c439fd6c90fcac1d9c247e0d30db57a.jpg,
10,1737474880713,21/01/2025 15:54:40,1737456880713,-5,21/01/2025 05:54:40,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,9,image,Screen 3,zz7hbh,1,response,4,1036.699999988079,1032.7999999999993,1036.699999988079,1036.699999988079,1032.7999999999993,1036.699999988079,1,1036.699999988079,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,158014689825043d5b49ffcf135892b5.jpg,
