Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1738298996691,31/01/2025 04:49:56,1738280996691,-5,30/01/2025 18:49:56,153647,21,task-3bxn,repeat-3dmk#3,42922727,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738298998171,31/01/2025 04:49:58,1738280998171,-5,30/01/2025 18:49:58,153647,21,task-3bxn,repeat-3dmk#3,42922727,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1491.3000001430512,1483.3,1491.3000001430512,1491.3000001430512,1483.3,1491.3000001430512,1,1491.3000001430512,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1738298998173,31/01/2025 04:49:58,1738280998173,-5,30/01/2025 18:49:58,153647,21,task-3bxn,repeat-3dmk#3,42922727,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1469,,,,0,,,,,,,,,,,
1,1738299057998,31/01/2025 04:50:57,1738281057998,-5,30/01/2025 18:50:57,153647,21,task-3bxn,repeat-3dmk#5,42922741,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299060586,31/01/2025 04:51:00,1738281060586,-5,30/01/2025 18:51:00,153647,21,task-3bxn,repeat-3dmk#5,42922741,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2601.099999964237,2598,2601.099999964237,2601.099999964237,2598,2601.099999964237,1,2601.099999964237,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1738299060587,31/01/2025 04:51:00,1738281060587,-5,30/01/2025 18:51:00,153647,21,task-3bxn,repeat-3dmk#5,42922741,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2579,,,,0,,,,,,,,,,,
1,1738299067144,31/01/2025 04:51:07,1738277467144,-6,30/01/2025 16:51:07,153647,21,task-3bxn,repeat-3dmk#4,42922742,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299070532,31/01/2025 04:51:10,1738277470532,-6,30/01/2025 16:51:10,153647,21,task-3bxn,repeat-3dmk#4,42922742,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3393.7999999970198,3383.3999999999996,3393.7999999970198,3393.7999999970198,3383.3999999999996,3393.7999999970198,1,3393.7999999970198,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1738299070533,31/01/2025 04:51:10,1738277470533,-6,30/01/2025 16:51:10,153647,21,task-3bxn,repeat-3dmk#4,42922742,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3382,,,,0,,,,,,,,,,,
1,1738299251168,31/01/2025 04:54:11,1738277651168,-6,30/01/2025 16:54:11,153647,21,task-3bxn,repeat-3dmk#3,42922762,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
