Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1738298933553,31/01/2025 04:48:53,1738280933553,-5,30/01/2025 18:48:53,153647,21,task-nkxf,repeat-3dmk#1,42922709,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738298938820,31/01/2025 04:48:58,1738280938820,-5,30/01/2025 18:48:58,153647,21,task-nkxf,repeat-3dmk#1,42922709,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,5283.599999988079,5280.200000000001,5283.599999988079,5283.599999988079,5280.200000000001,5283.599999988079,1,5283.599999988079,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,1
3,1738298938821,31/01/2025 04:48:58,1738280938821,-5,30/01/2025 18:48:58,153647,21,task-nkxf,repeat-3dmk#1,42922709,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,5257,,,,0,,,,,,,,,,,
1,1738298943776,31/01/2025 04:49:03,1738280943776,-5,30/01/2025 18:49:03,153647,21,task-nkxf,repeat-3dmk#1,42922713,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738298946504,31/01/2025 04:49:06,1738280946504,-5,30/01/2025 18:49:06,153647,21,task-nkxf,repeat-3dmk#1,42922713,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2741.2999999046324,2733.3999999999996,2741.2999999046324,2741.2999999046324,2733.3999999999996,2741.2999999046324,1,2741.2999999046324,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,1
3,1738298946506,31/01/2025 04:49:06,1738280946506,-5,30/01/2025 18:49:06,153647,21,task-nkxf,repeat-3dmk#1,42922713,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2712,,,,0,,,,,,,,,,,
1,1738298969547,31/01/2025 04:49:29,1738280969547,-5,30/01/2025 18:49:29,153647,21,task-nkxf,repeat-3dmk#2,42922720,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738298972179,31/01/2025 04:49:32,1738280972179,-5,30/01/2025 18:49:32,153647,21,task-nkxf,repeat-3dmk#2,42922720,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2645.5000000119207,2631.0999999999995,2645.5000000119207,2645.5000000119207,2631.0999999999995,2645.5000000119207,1,2645.5000000119207,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,2
3,1738298972180,31/01/2025 04:49:32,1738280972180,-5,30/01/2025 18:49:32,153647,21,task-nkxf,repeat-3dmk#2,42922720,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2621,,,,0,,,,,,,,,,,
1,1738298973638,31/01/2025 04:49:33,1738280973638,-5,30/01/2025 18:49:33,153647,21,task-nkxf,repeat-3dmk#2,42922721,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738298975047,31/01/2025 04:49:35,1738280975047,-5,30/01/2025 18:49:35,153647,21,task-nkxf,repeat-3dmk#2,42922721,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1425.0000000000002,1416.7,1425.0000000000002,1425.0000000000002,1416.7,1425.0000000000002,1,1425.0000000000002,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1738298975048,31/01/2025 04:49:35,1738280975048,-5,30/01/2025 18:49:35,153647,21,task-nkxf,repeat-3dmk#2,42922721,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1394,,,,0,,,,,,,,,,,
1,1738298984203,31/01/2025 04:49:44,1738277384203,-6,30/01/2025 16:49:44,153647,21,task-nkxf,repeat-3dmk#1,42922724,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738298989593,31/01/2025 04:49:49,1738277389593,-6,30/01/2025 16:49:49,153647,21,task-nkxf,repeat-3dmk#1,42922724,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,5405.80000000149,5400.099999999999,5405.80000000149,5405.80000000149,5400.099999999999,5405.80000000149,1,5405.80000000149,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,1
3,1738298989594,31/01/2025 04:49:49,1738277389594,-6,30/01/2025 16:49:49,153647,21,task-nkxf,repeat-3dmk#1,42922724,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,5382,,,,0,,,,,,,,,,,
1,1738298998449,31/01/2025 04:49:58,1738280998449,-5,30/01/2025 18:49:58,153647,21,task-nkxf,repeat-3dmk#3,42922728,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299001056,31/01/2025 04:50:01,1738281001056,-5,30/01/2025 18:50:01,153647,21,task-nkxf,repeat-3dmk#3,42922728,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2615.017999999999,2598.218,2615.017999999999,2615.017999999999,2598.218,2615.017999999999,1,2615.017999999999,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1738299001058,31/01/2025 04:50:01,1738281001058,-5,30/01/2025 18:50:01,153647,21,task-nkxf,repeat-3dmk#3,42922728,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2598,,,,0,,,,,,,,,,,
1,1738299018363,31/01/2025 04:50:18,1738277418363,-6,30/01/2025 16:50:18,153647,21,task-nkxf,repeat-3dmk#2,42922732,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299020948,31/01/2025 04:50:20,1738277420948,-6,30/01/2025 16:50:20,153647,21,task-nkxf,repeat-3dmk#2,42922732,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2593.5000000029804,2583.5,2593.5000000029804,2593.5000000029804,2583.5,2593.5000000029804,1,2593.5000000029804,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,2
3,1738299020949,31/01/2025 04:50:20,1738277420949,-6,30/01/2025 16:50:20,153647,21,task-nkxf,repeat-3dmk#2,42922732,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2579,,,,0,,,,,,,,,,,
1,1738299035560,31/01/2025 04:50:35,1738281035560,-5,30/01/2025 18:50:35,153647,21,task-nkxf,repeat-3dmk#4,42922735,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299037288,31/01/2025 04:50:37,1738281037288,-5,30/01/2025 18:50:37,153647,21,task-nkxf,repeat-3dmk#4,42922735,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1741.694,1732.194,1741.694,1741.694,1732.194,1741.694,1,1741.694,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1738299037290,31/01/2025 04:50:37,1738281037290,-5,30/01/2025 18:50:37,153647,21,task-nkxf,repeat-3dmk#4,42922735,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1721,,,,0,,,,,,,,,,,
1,1738299041552,31/01/2025 04:50:41,1738277441552,-6,30/01/2025 16:50:41,153647,21,task-nkxf,repeat-3dmk#3,42922736,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299043984,31/01/2025 04:50:43,1738277443984,-6,30/01/2025 16:50:43,153647,21,task-nkxf,repeat-3dmk#3,42922736,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2446.172,2433.472,2446.172,2446.172,2433.472,2446.172,1,2446.172,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1738299043985,31/01/2025 04:50:43,1738277443985,-6,30/01/2025 16:50:43,153647,21,task-nkxf,repeat-3dmk#3,42922736,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2428,,,,0,,,,,,,,,,,
1,1738299185976,31/01/2025 04:53:05,1738277585976,-6,30/01/2025 16:53:05,153647,21,task-nkxf,repeat-3dmk#1,42922749,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299188544,31/01/2025 04:53:08,1738277588544,-6,30/01/2025 16:53:08,153647,21,task-nkxf,repeat-3dmk#1,42922749,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2597.0000000029804,2584.6000000000004,2597.0000000029804,2597.0000000029804,2584.6000000000004,2597.0000000029804,1,2597.0000000029804,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1738299188545,31/01/2025 04:53:08,1738277588545,-6,30/01/2025 16:53:08,153647,21,task-nkxf,repeat-3dmk#1,42922749,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2543,,,,0,,,,,,,,,,,
1,1738299215016,31/01/2025 04:53:35,1738277615016,-6,30/01/2025 16:53:35,153647,21,task-nkxf,repeat-3dmk#2,42922756,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299220286,31/01/2025 04:53:40,1738277620286,-6,30/01/2025 16:53:40,153647,21,task-nkxf,repeat-3dmk#2,42922756,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,5309.09999999851,5302.3,5309.09999999851,5309.09999999851,5302.3,5309.09999999851,1,5309.09999999851,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,3
3,1738299220288,31/01/2025 04:53:40,1738277620288,-6,30/01/2025 16:53:40,153647,21,task-nkxf,repeat-3dmk#2,42922756,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,5247,,,,0,,,,,,,,,,,
1,1738299347550,31/01/2025 04:55:47,1738281347550,-5,30/01/2025 18:55:47,153647,21,task-nkxf,repeat-3dmk#1,42922779,BLIND,12510920,,complete,,679c55abc0a635f6721f9836,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x632,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1738299351406,31/01/2025 04:55:51,1738281351406,-5,30/01/2025 18:55:51,153647,21,task-nkxf,repeat-3dmk#1,42922779,BLIND,12510920,,complete,,679c55abc0a635f6721f9836,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x632,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3869.096000023842,3867.196,3869.096000023842,3869.096000023842,3867.196,3869.096000023842,1,3869.096000023842,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,2
3,1738299351407,31/01/2025 04:55:51,1738281351407,-5,30/01/2025 18:55:51,153647,21,task-nkxf,repeat-3dmk#1,42922779,BLIND,12510920,,complete,,679c55abc0a635f6721f9836,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x632,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3845,,,,0,,,,,,,,,,,
1,1738299489928,31/01/2025 04:58:09,1738270689928,-8,30/01/2025 12:58:09,153647,21,task-nkxf,repeat-3dmk#1,42922796,BLIND,12510925,,complete,,679c55a5870e04cb94567d6a,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x1080,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
