Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1725908755997,09/09/2024 19:05:55,1725894355997,-4,09/09/2024 11:05:55,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1912x922,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1725908782783,09/09/2024 19:06:22,1725894382783,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Age:,response,value,41,,,Number Entry,2,object-4
3,1725908782783,09/09/2024 19:06:22,1725894382783,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Gender:,response,value,Male,,Male|Female|Not listed/Other,Multiple Choice,3,object-6
4,1725908782783,09/09/2024 19:06:22,1725894382783,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Gender:,response,quantised,1,,Male|Female|Not listed/Other,Multiple Choice,3,object-6
5,1725908782783,09/09/2024 19:06:22,1725894382783,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Black or African American,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
6,1725908782783,09/09/2024 19:06:22,1725894382783,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,White,1,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
7,1725908782784,09/09/2024 19:06:22,1725894382784,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Asian,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
8,1725908782784,09/09/2024 19:06:22,1725894382784,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Native Hawaiian or Pacific Islander,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
9,1725908782784,09/09/2024 19:06:22,1725894382784,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,American Indian/Alaska Native,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
10,1725908782784,09/09/2024 19:06:22,1725894382784,-4,09/09/2024 11:06:22,187004,3,questionnaire-ngcx,,39967012,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Demographics form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,__other,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
