Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1725908787934,09/09/2024 19:06:27,1725894387934,-4,09/09/2024 11:06:27,187004,3,questionnaire-nzx6,,39967034,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Consent Form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1725908934306,09/09/2024 19:08:54,1725894534306,-4,09/09/2024 11:08:54,187004,3,questionnaire-nzx6,,39967034,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Consent Form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1725908934306,09/09/2024 19:08:54,1725894534306,-4,09/09/2024 11:08:54,187004,3,questionnaire-nzx6,,39967034,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1920x1080,,,0,Consent Form,4,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1725908792590,09/09/2024 19:06:32,1725894392590,-4,09/09/2024 11:06:32,187004,3,questionnaire-nzx6,,39967038,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,360x803,980x1843,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1725908801935,09/09/2024 19:06:41,1725894401935,-4,09/09/2024 11:06:41,187004,3,questionnaire-nzx6,,39967038,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,360x803,980x1995,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1725908801935,09/09/2024 19:06:41,1725894401935,-4,09/09/2024 11:06:41,187004,3,questionnaire-nzx6,,39967038,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,360x803,980x1995,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1725908805829,09/09/2024 19:06:45,1725894405829,-4,09/09/2024 11:06:45,187004,3,questionnaire-nzx6,,39967044,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1725908813811,09/09/2024 19:06:53,1725894413811,-4,09/09/2024 11:06:53,187004,3,questionnaire-nzx6,,39967044,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1725908813811,09/09/2024 19:06:53,1725894413811,-4,09/09/2024 11:06:53,187004,3,questionnaire-nzx6,,39967044,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1725908807518,09/09/2024 19:06:47,1725894407518,-4,09/09/2024 11:06:47,187004,3,questionnaire-nzx6,,39967047,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
