Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725986167264,10/09/2024 16:36:07,1725968167264,-5,10/09/2024 06:36:07,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,39982893,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986169820,10/09/2024 16:36:09,1725968169820,-5,10/09/2024 06:36:09,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,39982893,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2575.2,2567.3999999999996,2575.2,2575.2,2567.3999999999996,2575.2,1,2575.2,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,25
3,1725986169822,10/09/2024 16:36:09,1725968169822,-5,10/09/2024 06:36:09,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,39982893,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725986634346,10/09/2024 16:43:54,1725968634346,-5,10/09/2024 06:43:54,187004,3,task-4d82,repeat-3dmk#4->-repeat-ku6w#3,39982996,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986654026,10/09/2024 16:44:14,1725968654026,-5,10/09/2024 06:44:14,187004,3,task-4d82,repeat-3dmk#4->-repeat-ku6w#3,39982996,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,19691.399999904632,19675.5,19691.399999904632,19691.399999904632,19675.5,19691.399999904632,1,19691.399999904632,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,32
3,1725986654036,10/09/2024 16:44:14,1725968654036,-5,10/09/2024 06:44:14,187004,3,task-4d82,repeat-3dmk#4->-repeat-ku6w#3,39982996,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725986758776,10/09/2024 16:45:58,1725972358776,-4,10/09/2024 08:45:58,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#2,39983019,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986760609,10/09/2024 16:46:00,1725972360609,-4,10/09/2024 08:46:00,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#2,39983019,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1847.2999999999988,1830.9999999999995,1847.2999999999988,1847.2999999999988,1830.9999999999995,1847.2999999999988,1,1847.2999999999988,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,36
3,1725986760612,10/09/2024 16:46:00,1725972360612,-4,10/09/2024 08:46:00,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#2,39983019,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725987031320,10/09/2024 16:50:31,1725972631320,-4,10/09/2024 08:50:31,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#4,39983070,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
