Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725986162685,10/09/2024 16:36:02,1725971762685,-4,10/09/2024 08:36:02,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#4,39982890,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986163666,10/09/2024 16:36:03,1725971763666,-4,10/09/2024 08:36:03,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#4,39982890,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,985.4999999998136,984.3999999999996,985.4999999998136,985.4999999998136,984.3999999999996,985.4999999998136,1,985.4999999998136,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,98
3,1725986163666,10/09/2024 16:36:03,1725971763666,-4,10/09/2024 08:36:03,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#4,39982890,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725986407229,10/09/2024 16:40:07,1725961207229,-7,10/09/2024 02:40:07,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#5,39982952,BLIND,11682057,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,2560x1440,1278x1304,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986412629,10/09/2024 16:40:12,1725961212629,-7,10/09/2024 02:40:12,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#5,39982952,BLIND,11682057,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,2560x1440,1278x1304,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,5406.399999952317,5401.700000000001,5406.399999952317,5406.399999952317,5401.700000000001,5406.399999952317,1,5406.399999952317,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,74
3,1725986412630,10/09/2024 16:40:12,1725961212630,-7,10/09/2024 02:40:12,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#5,39982952,BLIND,11682057,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,2560x1440,1278x1304,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725986451331,10/09/2024 16:40:51,1725972051331,-4,10/09/2024 08:40:51,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#4,39982970,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,877x421,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986452648,10/09/2024 16:40:52,1725972052648,-4,10/09/2024 08:40:52,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#4,39982970,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,877x421,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1325.957999809265,1315.7579999999998,1325.957999809265,1325.957999809265,1315.7579999999998,1325.957999809265,1,1325.957999809265,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,66
3,1725986452649,10/09/2024 16:40:52,1725972052649,-4,10/09/2024 08:40:52,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#4,39982970,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,877x421,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725986854906,10/09/2024 16:47:34,1725972454906,-4,10/09/2024 08:47:34,187004,3,task-7sj6,repeat-3dmk#3->-repeat-tj2w#1,39983036,BLIND,11682081,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128,768x1024,1024x653,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725986880729,10/09/2024 16:48:00,1725972480729,-4,10/09/2024 08:48:00,187004,3,task-7sj6,repeat-3dmk#3->-repeat-tj2w#1,39983036,BLIND,11682081,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128,768x1024,1024x653,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,25807,25791,25807,25807,25791,25807,1,25807,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,59
