Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725985977456,10/09/2024 16:32:57,1725971577456,-4,10/09/2024 08:32:57,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725985979330,10/09/2024 16:32:59,1725971579330,-4,10/09/2024 08:32:59,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1390.1999999994414,1388.9000000000005,1390.1999999994414,1390.1999999994414,1388.9000000000005,1390.1999999994414,1,1390.1999999994414,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725985985838,10/09/2024 16:33:05,1725971585838,-4,10/09/2024 08:33:05,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,6509.299999999441,6506.799999999999,6509.299999999441,6509.299999999441,6506.799999999999,6509.299999999441,1,6509.299999999441,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725985988029,10/09/2024 16:33:08,1725971588029,-4,10/09/2024 08:33:08,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,2193.6000000000004,2189.7000000000007,2193.6000000000004,2193.6000000000004,2189.7000000000007,2193.6000000000004,1,2193.6000000000004,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725985993033,10/09/2024 16:33:13,1725971593033,-4,10/09/2024 08:33:13,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,5008.299999999441,5005.199999999999,5008.299999999441,5008.299999999441,5005.199999999999,5008.299999999441,1,5008.299999999441,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725985995282,10/09/2024 16:33:15,1725971595282,-4,10/09/2024 08:33:15,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,2252.299999999628,2248.100000000002,2252.299999999628,2252.299999999628,2248.100000000002,2252.299999999628,1,2252.299999999628,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725985995283,10/09/2024 16:33:15,1725971595283,-4,10/09/2024 08:33:15,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,39982833,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1015x863,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725986028612,10/09/2024 16:33:48,1725971628612,-4,10/09/2024 08:33:48,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,39982841,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725986030231,10/09/2024 16:33:50,1725971630231,-4,10/09/2024 08:33:50,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,39982841,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1605.9000000000003,1601.7,1605.9000000000003,1605.9000000000003,1601.7,1605.9000000000003,1,1605.9000000000003,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725986035452,10/09/2024 16:33:55,1725971635452,-4,10/09/2024 08:33:55,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,39982841,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,5224.799999999255,5222,5224.799999999255,5224.799999999255,5222,5224.799999999255,1,5224.799999999255,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
