Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1727371391201,26/09/2024 17:23:11,1727353391201,-5,26/09/2024 07:23:11,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#1,40291751,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Debrieff,3,Inaccurate~Accurate,2,,Accurate,,,,,info,,BEGIN,,,,,
2,1727371458865,26/09/2024 17:24:18,1727353458865,-5,26/09/2024 07:24:18,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#1,40291751,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Debrieff,3,Inaccurate~Accurate,2,,Accurate,,,,,info,,END,,,,,
1,1727371423527,26/09/2024 17:23:43,1727353423527,-5,26/09/2024 07:23:43,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40291775,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1727371427338,26/09/2024 17:23:47,1727353427338,-5,26/09/2024 07:23:47,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40291775,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1727371491278,26/09/2024 17:24:51,1727353491278,-5,26/09/2024 07:24:51,187004,3,questionnaire-vj9b,repeat-3dmk#1->-repeat-tj2w#5,40291835,BLIND,11758432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x773,,,0,Debrieff,3,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1727371504151,26/09/2024 17:25:04,1727353504151,-5,26/09/2024 07:25:04,187004,3,questionnaire-vj9b,repeat-3dmk#1->-repeat-tj2w#5,40291835,BLIND,11758432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x773,,,0,Debrieff,3,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1727371788379,26/09/2024 17:29:48,1727357388379,-4,26/09/2024 09:29:48,187004,3,questionnaire-vj9b,repeat-3dmk#1->-repeat-tj2w#2,40292017,BLIND,11758436,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x695,,,0,Debrieff,3,Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1727371804763,26/09/2024 17:30:04,1727357404763,-4,26/09/2024 09:30:04,187004,3,questionnaire-vj9b,repeat-3dmk#1->-repeat-tj2w#2,40292017,BLIND,11758436,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x695,,,0,Debrieff,3,Accurate,2,,Inaccurate~Accurate,,,,,info,,END,,,,,
1,1727371782720,26/09/2024 17:29:42,1727353782720,-5,26/09/2024 07:29:42,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,40292019,BLIND,11758428,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1504x1003,1504x834,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1727371803645,26/09/2024 17:30:03,1727353803645,-5,26/09/2024 07:30:03,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,40292019,BLIND,11758428,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1504x1003,1504x834,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1727371844449,26/09/2024 17:30:44,1727357444449,-4,26/09/2024 09:30:44,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2,40292059,BLIND,11758493,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1727371898236,26/09/2024 17:31:38,1727357498236,-4,26/09/2024 09:31:38,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2,40292059,BLIND,11758493,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1727371982635,26/09/2024 17:33:02,1727353982635,-5,26/09/2024 07:33:02,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3,40292123,BLIND,11758423,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,981x832,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1727372187419,26/09/2024 17:36:27,1727354187419,-5,26/09/2024 07:36:27,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3,40292123,BLIND,11758423,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,981x832,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1727372028329,26/09/2024 17:33:48,1727357628329,-4,26/09/2024 09:33:48,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1,40292141,BLIND,11758444,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1912x962,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,BEGIN,,,,,
2,1727372031547,26/09/2024 17:33:51,1727357631547,-4,26/09/2024 09:33:51,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1,40292141,BLIND,11758444,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1912x962,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,END,,,,,
1,1727372045011,26/09/2024 17:34:05,1727357645011,-4,26/09/2024 09:34:05,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2,40292153,BLIND,11758487,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x551,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1727372086986,26/09/2024 17:34:46,1727357686986,-4,26/09/2024 09:34:46,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2,40292153,BLIND,11758487,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x551,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1727372077483,26/09/2024 17:34:37,1727354077483,-5,26/09/2024 07:34:37,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40292168,BLIND,11758398,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x742,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1727372083382,26/09/2024 17:34:43,1727354083382,-5,26/09/2024 07:34:43,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40292168,BLIND,11758398,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x742,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1727372111010,26/09/2024 17:35:11,1727346911010,-7,26/09/2024 03:35:11,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#1,40292179,BLIND,11758476,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,2560x1440,1632x1112,,,0,Debrieff,3,Inaccurate~Accurate,2,,Accurate,,,,,info,,BEGIN,,,,,
