Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1727370874886,26/09/2024 17:14:34,1727352874886,-5,26/09/2024 07:14:34,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1727370877383,26/09/2024 17:14:37,1727352877383,-5,26/09/2024 07:14:37,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1837.699999988079,1833.3000000000002,1837.699999988079,1837.699999988079,1833.3000000000002,1837.699999988079,1,1837.699999988079,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1727370880946,26/09/2024 17:14:40,1727352880946,-5,26/09/2024 07:14:40,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,3566.5999999999976,3549.999999999999,3566.5999999999976,3566.5999999999976,3549.999999999999,3566.5999999999976,1,3566.5999999999976,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1727370880952,26/09/2024 17:14:40,1727352880952,-5,26/09/2024 07:14:40,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1727370885805,26/09/2024 17:14:45,1727352885805,-5,26/09/2024 07:14:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,4875.89999998808,4866.6,4875.89999998808,4875.89999998808,4866.6,4875.89999998808,1,4875.89999998808,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1727370885807,26/09/2024 17:14:45,1727352885807,-5,26/09/2024 07:14:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,7,1666.7000000000007,4866.6,4877.800000023843,1666.7000000000007,4866.6,4877.800000023843,1,1666.7000000000007,3211.100000023842,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1727370885812,26/09/2024 17:14:45,1727352885812,-5,26/09/2024 07:14:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.600000000000364,0,16.600000000000364,16.600000000000364,0,16.600000000000364,1,16.600000000000364,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1727370888922,26/09/2024 17:14:48,1727352888922,-5,26/09/2024 07:14:48,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,3126.6000000000004,3116.6000000000004,3126.6000000000004,3126.6000000000004,3116.6000000000004,3126.6000000000004,1,3126.6000000000004,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1727370888922,26/09/2024 17:14:48,1727352888922,-5,26/09/2024 07:14:48,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,1616.6000000000004,3116.6000000000004,3126.9000000119213,1616.6000000000004,3116.6000000000004,3126.9000000119213,1,1616.6000000000004,1510.300000011921,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1727370888923,26/09/2024 17:14:48,1727352888923,-5,26/09/2024 07:14:48,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291350,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1727371253490,26/09/2024 17:20:53,1727346053490,-7,26/09/2024 03:20:53,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291633,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1727371256960,26/09/2024 17:20:56,1727346056960,-7,26/09/2024 03:20:56,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40291633,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,3287.4000000476835,3273.5,3287.4000000476835,3287.4000000476835,3273.5,3287.4000000476835,1,3287.4000000476835,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
