Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1727370643295,26/09/2024 17:10:43,1727345443295,-7,26/09/2024 03:10:43,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1727370648530,26/09/2024 17:10:48,1727345448530,-7,26/09/2024 03:10:48,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,5249.343999952316,5230.744000000001,5249.343999952316,5249.343999952316,5230.744000000001,5249.343999952316,1,5249.343999952316,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1727370651508,26/09/2024 17:10:51,1727345451508,-7,26/09/2024 03:10:51,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.5999999523156,2998.5999999999985,2999.5999999523156,2999.5999999523156,2998.5999999999985,2999.5999999523156,1,2999.5999999523156,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1727370658542,26/09/2024 17:10:58,1727345458542,-7,26/09/2024 03:10:58,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,5,7031.999999952317,7021.600000000002,7031.999999952317,7031.999999952317,7021.600000000002,7031.999999952317,0,7031.999999952317,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1727370674506,26/09/2024 17:11:14,1727345474506,-7,26/09/2024 03:11:14,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,4,14975.200000047684,14967.900000000001,14975.200000047684,14975.200000047684,14967.900000000001,14975.200000047684,0,14975.200000047684,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,2
6,1727370683540,26/09/2024 17:11:23,1727345483540,-7,26/09/2024 03:11:23,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,8043.000000095366,8021.199999999997,8043.000000095366,8043.000000095366,8021.199999999997,8043.000000095366,0,8043.000000095366,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,3
7,1727370684519,26/09/2024 17:11:24,1727345484519,-7,26/09/2024 03:11:24,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291157,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1727370647404,26/09/2024 17:10:47,1727352647404,-5,26/09/2024 07:10:47,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291162,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1727370652484,26/09/2024 17:10:52,1727352652484,-5,26/09/2024 07:10:52,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291162,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,5085.365999952316,5083.266,5085.365999952316,5085.365999952316,5083.266,5085.365999952316,1,5085.365999952316,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1727370655482,26/09/2024 17:10:55,1727352655482,-5,26/09/2024 07:10:55,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,40291162,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.3,3000.0999999999995,3000.3,3000.3,3000.0999999999995,3000.3,1,3000.3,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
