Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1727370589851,26/09/2024 17:09:49,1727345389851,-7,26/09/2024 03:09:49,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1727370594450,26/09/2024 17:09:54,1727345394450,-7,26/09/2024 03:09:54,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,3612.5999999523156,3598.5,3612.5999999523156,3612.5999999523156,3598.5,3612.5999999523156,1,3612.5999999523156,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1727370606550,26/09/2024 17:10:06,1727345406550,-7,26/09/2024 03:10:06,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,12115.8,12094.099999999999,12115.8,12115.8,12094.099999999999,12115.8,1,12115.8,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1727370611558,26/09/2024 17:10:11,1727345411558,-7,26/09/2024 03:10:11,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,5029.700000000001,5022.700000000001,5029.700000000001,5029.700000000001,5022.700000000001,5029.700000000001,1,5029.700000000001,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1727370620119,26/09/2024 17:10:20,1727345420119,-7,26/09/2024 03:10:20,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,8567.899999856949,8545.800000000003,8567.899999856949,8567.899999856949,8545.800000000003,8567.899999856949,1,8567.899999856949,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1727370634188,26/09/2024 17:10:34,1727345434188,-7,26/09/2024 03:10:34,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,14090.599999856946,14068.5,14090.599999856946,14090.599999856946,14068.5,14090.599999856946,1,14090.599999856946,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1727370634199,26/09/2024 17:10:34,1727345434199,-7,26/09/2024 03:10:34,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291123,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1727370620375,26/09/2024 17:10:20,1727352620375,-5,26/09/2024 07:10:20,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291140,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1727370623097,26/09/2024 17:10:23,1727352623097,-5,26/09/2024 07:10:23,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291140,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2598.3999999999996,2583.2999999999993,2598.3999999999996,2598.3999999999996,2583.2999999999993,2598.3999999999996,1,2598.3999999999996,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1727370629288,26/09/2024 17:10:29,1727352629288,-5,26/09/2024 07:10:29,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,40291140,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,6205.699999964238,6199.9,6205.699999964238,6205.699999964238,6199.9,6205.699999964238,1,6205.699999964238,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
