Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1730475525348,01/11/2024 15:38:45,1730457525348,-5,01/11/2024 05:38:45,187004,4,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,41051436,BLIND,11982658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 132.0,1512x982,1512x832,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730475579371,01/11/2024 15:39:39,1730457579371,-5,01/11/2024 05:39:39,187004,4,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,41051436,BLIND,11982658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 132.0,1512x982,1512x832,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,58220.85999999999,58212.52,58220.85999999999,58220.85999999999,58212.52,58220.85999999999,1,58220.85999999999,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,31
3,1730475579377,01/11/2024 15:39:39,1730457579377,-5,01/11/2024 05:39:39,187004,4,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,41051436,BLIND,11982658,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 132.0,1512x982,1512x832,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,54007,,,,0,,,,,,,,,,,
1,1730476125014,01/11/2024 15:48:45,1730458125014,-5,01/11/2024 05:48:45,187004,4,task-lon4,repeat-3dmk#1->-repeat-ku6w#1,41051649,BLIND,11982674,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1670x940,1670x851,,,0,Retry (Memory),2,Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730476127268,01/11/2024 15:48:47,1730458127268,-5,01/11/2024 05:48:47,187004,4,task-lon4,repeat-3dmk#1->-repeat-ku6w#1,41051649,BLIND,11982674,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1670x940,1670x851,,,0,Retry (Memory),2,Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2269.2,2267.3999999999996,2269.2,2269.2,2267.3999999999996,2269.2,1,2269.2,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,33
3,1730476127270,01/11/2024 15:48:47,1730458127270,-5,01/11/2024 05:48:47,187004,4,task-lon4,repeat-3dmk#1->-repeat-ku6w#1,41051649,BLIND,11982674,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1670x940,1670x851,,,0,Retry (Memory),2,Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2249,,,,0,,,,,,,,,,,
1,1730476985175,01/11/2024 16:03:05,1730455385175,-6,01/11/2024 04:03:05,187004,4,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,41052039,BLIND,11982646,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,1280x720,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730476987436,01/11/2024 16:03:07,1730455387436,-6,01/11/2024 04:03:07,187004,4,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,41052039,BLIND,11982646,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,1280x720,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2288.2599999880795,2282.6600000000008,2288.2599999880795,2288.2599999880795,2282.6600000000008,2288.2599999880795,1,2288.2599999880795,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,40
3,1730476987436,01/11/2024 16:03:07,1730455387436,-6,01/11/2024 04:03:07,187004,4,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,41052039,BLIND,11982646,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,1280x720,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2219,,,,0,,,,,,,,,,,
1,1730481925236,01/11/2024 17:25:25,1730456725236,-7,01/11/2024 03:25:25,187004,4,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,41053735,BLIND,11982661,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1313,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
