Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1730463134754,01/11/2024 12:12:14,1730448734754,-4,01/11/2024 04:12:14,187004,4,task-mkiw,repeat-3dmk#1->-repeat-tj2w#1,41046673,BLIND,11982727,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730463137491,01/11/2024 12:12:17,1730448737491,-4,01/11/2024 04:12:17,187004,4,task-mkiw,repeat-3dmk#1->-repeat-tj2w#1,41046673,BLIND,11982727,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2751.5000000953673,2750.2000000000003,2751.5000000953673,2751.5000000953673,2750.2000000000003,2751.5000000953673,1,2751.5000000953673,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,63
3,1730463137491,01/11/2024 12:12:17,1730448737491,-4,01/11/2024 04:12:17,187004,4,task-mkiw,repeat-3dmk#1->-repeat-tj2w#1,41046673,BLIND,11982727,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,2730,,,,0,,,,,,,,,,,
1,1730463180922,01/11/2024 12:13:00,1730448780922,-4,01/11/2024 04:13:00,187004,4,task-mkiw,repeat-3dmk#1->-repeat-tj2w#2,41046700,BLIND,11982727,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730463182508,01/11/2024 12:13:02,1730448782508,-4,01/11/2024 04:13:02,187004,4,task-mkiw,repeat-3dmk#1->-repeat-tj2w#2,41046700,BLIND,11982727,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1602.6999999046325,1599.9,1602.6999999046325,1602.6999999046325,1599.9,1602.6999999046325,1,1602.6999999046325,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,63
3,1730463182509,01/11/2024 12:13:02,1730448782509,-4,01/11/2024 04:13:02,187004,4,task-mkiw,repeat-3dmk#1->-repeat-tj2w#2,41046700,BLIND,11982727,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Retry (Memory),2,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1581,,,,0,,,,,,,,,,,
1,1730463359996,01/11/2024 12:15:59,1730438159996,-7,31/10/2024 22:15:59,187004,4,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,41046737,BLIND,11982925,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1147x916,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730463363059,01/11/2024 12:16:03,1730438163059,-7,31/10/2024 22:16:03,187004,4,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,41046737,BLIND,11982925,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1147x916,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2916.3960000000006,2899.7960000000003,2916.3960000000006,2916.3960000000006,2899.7960000000003,2916.3960000000006,1,2916.3960000000006,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,57
3,1730463363061,01/11/2024 12:16:03,1730438163061,-7,31/10/2024 22:16:03,187004,4,task-mkiw,repeat-3dmk#3->-repeat-tj2w#1,41046737,BLIND,11982925,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1147x916,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3027,,,,0,,,,,,,,,,,
1,1730464808720,01/11/2024 12:40:08,1730446808720,-5,01/11/2024 02:40:08,187004,4,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,41047186,BLIND,11982707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1366x660,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1730464812268,01/11/2024 12:40:12,1730446812268,-5,01/11/2024 02:40:12,187004,4,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,41047186,BLIND,11982707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1366x660,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3554.3999999999996,3548.2,3554.3999999999996,3554.3999999999996,3548.2,3554.3999999999996,1,3554.3999999999996,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,61
3,1730464812269,01/11/2024 12:40:12,1730446812269,-5,01/11/2024 02:40:12,187004,4,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,41047186,BLIND,11982707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1366x660,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3543,,,,0,,,,,,,,,,,
1,1730464855991,01/11/2024 12:40:55,1730446855991,-5,01/11/2024 02:40:55,187004,4,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,41047202,BLIND,11982707,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1366x660,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
