Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1731524716397,13/11/2024 19:05:16,1731506716397,-5,13/11/2024 09:05:16,187004,8,task-nkxf,repeat-3dmk#1,41320963,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1731524719603,13/11/2024 19:05:19,1731506719603,-5,13/11/2024 09:05:19,187004,8,task-nkxf,repeat-3dmk#1,41320963,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3213.104000011921,3197.6040000000003,3213.104000011921,3213.104000011921,3197.6040000000003,3213.104000011921,1,3213.104000011921,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,0
3,1731524719604,13/11/2024 19:05:19,1731506719604,-5,13/11/2024 09:05:19,187004,8,task-nkxf,repeat-3dmk#1,41320963,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3195,,,,0,,,,,,,,,,,
1,1731524743086,13/11/2024 19:05:43,1731506743086,-5,13/11/2024 09:05:43,187004,8,task-nkxf,repeat-3dmk#1,41320985,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1731524746218,13/11/2024 19:05:46,1731506746218,-5,13/11/2024 09:05:46,187004,8,task-nkxf,repeat-3dmk#1,41320985,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3146.8,3133.4000000000005,3146.8,3146.8,3133.4000000000005,3146.8,1,3146.8,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,1
3,1731524746220,13/11/2024 19:05:46,1731506746220,-5,13/11/2024 09:05:46,187004,8,task-nkxf,repeat-3dmk#1,41320985,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3120,,,,0,,,,,,,,,,,
1,1731524758277,13/11/2024 19:05:58,1731506758277,-5,13/11/2024 09:05:58,187004,8,task-nkxf,repeat-3dmk#2,41320994,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1731524760106,13/11/2024 19:06:00,1731506760106,-5,13/11/2024 09:06:00,187004,8,task-nkxf,repeat-3dmk#2,41320994,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1843.4600000059609,1840.0600000000004,1843.4600000059609,1843.4600000059609,1840.0600000000004,1843.4600000059609,1,1843.4600000059609,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,4
3,1731524760107,13/11/2024 19:06:00,1731506760107,-5,13/11/2024 09:06:00,187004,8,task-nkxf,repeat-3dmk#2,41320994,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1818,,,,0,,,,,,,,,,,
1,1731524807517,13/11/2024 19:06:47,1731496007517,-8,13/11/2024 03:06:47,187004,8,task-nkxf,repeat-3dmk#1,41321054,BLIND,12063966,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1223x816,1223x690,,,0,Retry,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
