Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1731604892437,14/11/2024 17:21:32,1731583292437,-6,14/11/2024 05:21:32,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1731604896643,14/11/2024 17:21:36,1731583296643,-6,14/11/2024 05:21:36,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,3563.600000011921,3557.7,3563.600000011921,3563.600000011921,3557.7,3563.600000011921,1,3563.600000011921,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1731604913978,14/11/2024 17:21:53,1731583313978,-6,14/11/2024 05:21:53,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,17336.899999999994,17320.199999999997,17336.899999999994,17336.899999999994,17320.199999999997,17336.899999999994,1,17336.899999999994,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1731604914047,14/11/2024 17:21:54,1731583314047,-6,14/11/2024 05:21:54,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.69999999999709,0,16.69999999999709,16.69999999999709,0,16.69999999999709,1,16.69999999999709,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1731604927189,14/11/2024 17:22:07,1731583327189,-6,14/11/2024 05:22:07,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,13232.80000000001,13216.200000000004,13232.80000000001,13232.80000000001,13216.200000000004,13232.80000000001,1,13232.80000000001,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1731604927199,14/11/2024 17:22:07,1731583327199,-6,14/11/2024 05:22:07,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,,13232.80000000001,13216.200000000004,13232.80000000001,13232.80000000001,13216.200000000004,13232.80000000001,1,13232.80000000001,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1731604927256,14/11/2024 17:22:07,1731583327256,-6,14/11/2024 05:22:07,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1731604948459,14/11/2024 17:22:28,1731583348459,-6,14/11/2024 05:22:28,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,21287.199999999997,21275.699999999997,21287.199999999997,21287.199999999997,21275.699999999997,21287.199999999997,1,21287.199999999997,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1731604948468,14/11/2024 17:22:28,1731583348468,-6,14/11/2024 05:22:28,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,,21292.299999999996,21275.699999999997,21292.299999999996,21292.299999999996,21275.699999999997,21292.299999999996,1,21292.299999999996,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1731604948478,14/11/2024 17:22:28,1731583348478,-6,14/11/2024 05:22:28,187004,8,task-o7gw,repeat-3dmk#4->-repeat-tj2w#3,41353337,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,55929,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
