Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1731524638449,13/11/2024 19:03:58,1731506638449,-5,13/11/2024 09:03:58,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1731524720746,13/11/2024 19:05:20,1731506720746,-5,13/11/2024 09:05:20,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,81949.10000000297,81939,81949.10000000297,81949.10000000297,81939,81949.10000000297,1,81949.10000000297,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1731524725394,13/11/2024 19:05:25,1731506725394,-5,13/11/2024 09:05:25,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,4657.300000005955,4650.399999999994,4657.300000005955,4657.300000005955,4650.399999999994,4657.300000005955,1,4657.300000005955,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1731524728387,13/11/2024 19:05:28,1731506728387,-5,13/11/2024 09:05:28,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3001,3000,3001,3001,3000,3001,1,3001,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1731524729388,13/11/2024 19:05:29,1731506729388,-5,13/11/2024 09:05:29,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1000.1000000000058,1000.1000000000058,1000.1000000000058,1000.1000000000058,1000.1000000000058,1000.1000000000058,0,1000.1000000000058,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1731524730370,13/11/2024 19:05:30,1731506730370,-5,13/11/2024 09:05:30,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,499.8999999999942,499.8999999999942,499.8999999999942,499.8999999999942,499.8999999999942,499.8999999999942,1,499.8999999999942,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1731524731370,13/11/2024 19:05:31,1731506731370,-5,13/11/2024 09:05:31,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,J,1000.1000000000058,1000.1000000000058,1000.1000000000058,1000.1000000000058,1000.1000000000058,1000.1000000000058,0,1000.1000000000058,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1731524732354,13/11/2024 19:05:32,1731506732354,-5,13/11/2024 09:05:32,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500.1999999999971,500.1999999999971,500.1999999999971,500.1999999999971,500.1999999999971,500.1999999999971,1,500.1999999999971,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1731524733354,13/11/2024 19:05:33,1731506733354,-5,13/11/2024 09:05:33,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,J,999.8000000000029,999.8000000000029,999.8000000000029,999.8000000000029,999.8000000000029,999.8000000000029,0,999.8000000000029,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1731524734337,13/11/2024 19:05:34,1731506734337,-5,13/11/2024 09:05:34,187004,8,task-wzke,repeat-3dmk#1,41320885,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
