Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1733333387929,04/12/2024 17:29:47,1733311787929,-6,04/12/2024 05:29:47,187004,8,questionnaire-nzx6,,41803836,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1733333393992,04/12/2024 17:29:53,1733311793992,-6,04/12/2024 05:29:53,187004,8,questionnaire-nzx6,,41803836,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733333393992,04/12/2024 17:29:53,1733311793992,-6,04/12/2024 05:29:53,187004,8,questionnaire-nzx6,,41803836,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,5997,,,,
1,1733333443964,04/12/2024 17:30:43,1733315443964,-5,04/12/2024 07:30:43,187004,8,questionnaire-nzx6,,41803876,BLIND,12211467,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x712,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733333463930,04/12/2024 17:31:03,1733315463930,-5,04/12/2024 07:31:03,187004,8,questionnaire-nzx6,,41803876,BLIND,12211467,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x712,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733333463930,04/12/2024 17:31:03,1733315463930,-5,04/12/2024 07:31:03,187004,8,questionnaire-nzx6,,41803876,BLIND,12211467,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x712,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,19901,,,,
1,1733333517866,04/12/2024 17:31:57,1733315517866,-5,04/12/2024 07:31:57,187004,8,questionnaire-nzx6,,41803955,BLIND,12211472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1707x843,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Accurate,,,,,info,,BEGIN,,,,,
2,1733333546389,04/12/2024 17:32:26,1733315546389,-5,04/12/2024 07:32:26,187004,8,questionnaire-nzx6,,41803955,BLIND,12211472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1707x843,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733333546389,04/12/2024 17:32:26,1733315546389,-5,04/12/2024 07:32:26,187004,8,questionnaire-nzx6,,41803955,BLIND,12211472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1707x843,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Accurate,,,,,info,,END,28453,,,,
1,1733333530928,04/12/2024 17:32:10,1733333530928,0,04/12/2024 17:32:10,187004,8,questionnaire-nzx6,,41803971,BLIND,12211465,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1382x777,1382x622,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1733333552285,04/12/2024 17:32:32,1733333552285,0,04/12/2024 17:32:32,187004,8,questionnaire-nzx6,,41803971,BLIND,12211465,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1382x777,1382x622,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
