Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1733333481307,04/12/2024 17:31:21,1733311881307,-6,04/12/2024 05:31:21,187004,8,task-3bxn,repeat-3dmk#2,41803913,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1733333482899,04/12/2024 17:31:22,1733311882899,-6,04/12/2024 05:31:22,187004,8,task-3bxn,repeat-3dmk#2,41803913,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1610.6999999999998,1600.0999999999995,1610.6999999999998,1610.6999999999998,1600.0999999999995,1610.6999999999998,1,1610.6999999999998,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1733333482900,04/12/2024 17:31:22,1733311882900,-6,04/12/2024 05:31:22,187004,8,task-3bxn,repeat-3dmk#2,41803913,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1577,,,,0,,,,,,,,,,,
1,1733333561369,04/12/2024 17:32:41,1733315561369,-5,04/12/2024 07:32:41,187004,8,task-3bxn,repeat-3dmk#3,41804011,BLIND,12211467,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x712,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1733333562782,04/12/2024 17:32:42,1733315562782,-5,04/12/2024 07:32:42,187004,8,task-3bxn,repeat-3dmk#3,41804011,BLIND,12211467,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x712,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,4218,4201,4218,4218,4201,4218,1,4218,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1733333562784,04/12/2024 17:32:42,1733315562784,-5,04/12/2024 07:32:42,187004,8,task-3bxn,repeat-3dmk#3,41804011,BLIND,12211467,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x712,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,1397,,,,0,,,,,,,,,,,
1,1733333633210,04/12/2024 17:33:53,1733315633210,-5,04/12/2024 07:33:53,187004,8,task-3bxn,repeat-3dmk#2,41804090,BLIND,12211491,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x1080,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1733333636253,04/12/2024 17:33:56,1733315636253,-5,04/12/2024 07:33:56,187004,8,task-3bxn,repeat-3dmk#2,41804090,BLIND,12211491,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x1080,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3055.6,3049.9999999999995,3055.6,3055.6,3049.9999999999995,3055.6,1,3055.6,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1733333636255,04/12/2024 17:33:56,1733315636255,-5,04/12/2024 07:33:56,187004,8,task-3bxn,repeat-3dmk#2,41804090,BLIND,12211491,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x1080,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3033,,,,0,,,,,,,,,,,
1,1733333717775,04/12/2024 17:35:17,1733315717775,-5,04/12/2024 07:35:17,187004,8,task-3bxn,repeat-3dmk#3,41804157,BLIND,12211472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1707x960,1707x843,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
