Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1733420589115,05/12/2024 17:43:09,1733398989115,-6,05/12/2024 05:43:09,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1733420590986,05/12/2024 17:43:10,1733398990986,-6,05/12/2024 05:43:10,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1876.0000000014898,1875,1876.0000000014898,1876.0000000014898,1875,1876.0000000014898,1,1876.0000000014898,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1733420593985,05/12/2024 17:43:13,1733398993985,-6,05/12/2024 05:43:13,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.300000000372,3000.1000000000004,3000.300000000372,3000.300000000372,3000.1000000000004,3000.300000000372,1,3000.300000000372,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1733420601765,05/12/2024 17:43:21,1733399001765,-6,05/12/2024 05:43:21,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,7780.000000001117,7777.5999999999985,7780.000000001117,7780.000000001117,7777.5999999999985,7780.000000001117,1,7780.000000001117,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1733420610597,05/12/2024 17:43:30,1733399010597,-6,05/12/2024 05:43:30,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,7834.100000000373,7833.100000000002,7834.100000000373,7834.100000000373,7833.100000000002,7834.100000000373,1,7834.100000000373,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1733420624280,05/12/2024 17:43:44,1733399024280,-6,05/12/2024 05:43:44,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,12683.900000000744,12680.400000000001,12683.900000000744,12683.900000000744,12680.400000000001,12683.900000000744,0,12683.900000000744,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1733420625276,05/12/2024 17:43:45,1733399025276,-6,05/12/2024 05:43:45,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,41835170,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,36146,,,,0,,,,,,,,,,,,,,,,,
1,1733420643237,05/12/2024 17:44:03,1733399043237,-6,05/12/2024 05:44:03,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,41835207,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1733420644059,05/12/2024 17:44:04,1733399044059,-6,05/12/2024 05:44:04,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,41835207,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,824.600000000745,819.4999999999998,824.600000000745,824.600000000745,819.4999999999998,824.600000000745,1,824.600000000745,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1733420647054,05/12/2024 17:44:07,1733399047054,-6,05/12/2024 05:44:07,187004,8,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,41835207,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.1000000007452,3000,3000.1000000007452,3000.1000000007452,3000,3000.1000000007452,1,3000.1000000007452,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
