Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1733421409462,05/12/2024 17:56:49,1733396209462,-7,05/12/2024 03:56:49,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1733421416651,05/12/2024 17:56:56,1733396216651,-7,05/12/2024 03:56:56,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 8,bajjy3,1,continue,,7206.800000023842,7199.999999999999,7206.800000023842,7206.800000023842,7199.999999999999,7206.800000023842,1,7206.800000023842,0,0,,Click To Continue,Continue Button,2,object-1931,instructions,,,,,,,
3,1733421419646,05/12/2024 17:56:59,1733396219646,-7,05/12/2024 03:56:59,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 9,bxwq68,2,timedOut,,3001.599999976159,2999.9000000000015,3001.599999976159,3001.599999976159,2999.9000000000015,3001.599999976159,1,3001.599999976159,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1733421424756,05/12/2024 17:57:04,1733396224756,-7,05/12/2024 03:57:04,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,1,image,Screen 3,zz7hbh,1,response,2,5112.000000047683,5100.700000000001,5112.000000047683,5112.000000047683,5100.700000000001,5112.000000047683,1,5112.000000047683,0,0,,Keyboard Response,Image,1,object-1907,image,1911,06d26db007c559279f26819efcdd8c97.jpg,target,J,,target,
5,1733421427236,05/12/2024 17:57:07,1733396227236,-7,05/12/2024 03:57:07,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,2,image,Screen 3,zz7hbh,1,response,2,2490.8000000476823,2483.199999999997,2490.8000000476823,2490.8000000476823,2483.199999999997,2490.8000000476823,1,2490.8000000476823,0,0,,Keyboard Response,Image,1,object-1907,image,23,ffbf67b06880abe66cf01e4026e70732.jpg,target,F,,filler,
6,1733421430558,05/12/2024 17:57:10,1733396230558,-7,05/12/2024 03:57:10,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,3,image,Screen 3,zz7hbh,1,response,1,3330.100000047685,3316.100000000002,3330.100000047685,3330.100000047685,3316.100000000002,3330.100000047685,1,3330.100000047685,0,0,,Keyboard Response,Image,1,object-1907,image,48,Lake 11.jpg,target,J,,target,
7,1733421433040,05/12/2024 17:57:13,1733396233040,-7,05/12/2024 03:57:13,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,4,image,Screen 3,zz7hbh,1,response,2,2495.7999999999993,2484.2999999999993,2495.7999999999993,2495.7999999999993,2484.2999999999993,2495.7999999999993,1,2495.7999999999993,0,0,,Keyboard Response,Image,1,object-1907,image,303,52ffa3e5889e09af34e5fe0491aa89b8.jpg,target,J,,target,
8,1733421436208,05/12/2024 17:57:16,1733396236208,-7,05/12/2024 03:57:16,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,5,image,Screen 3,zz7hbh,1,response,5,3179.600000023842,3165.699999999997,3179.600000023842,3179.600000023842,3165.699999999997,3179.600000023842,1,3179.600000023842,0,0,,Keyboard Response,Image,1,object-1907,image,312,Landscapes_058_h.jpg,target,J,,target,
9,1733421438940,05/12/2024 17:57:18,1733396238940,-7,05/12/2024 03:57:18,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,6,image,Screen 3,zz7hbh,1,response,4,2746.1000000715285,2734.2000000000044,2746.1000000715285,2746.1000000715285,2734.2000000000044,2746.1000000715285,1,2746.1000000715285,0,0,,Keyboard Response,Image,1,object-1907,image,1751,fdda6cc29804708ad31e75527cd76e9c.jpg,target,F,,filler,
10,1733421441028,05/12/2024 17:57:21,1733396241028,-7,05/12/2024 03:57:21,187004,8,task-tak4,repeat-3dmk#2->-repeat-ku6w#1,41835591,BLIND,12211492,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1430x720,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Accurate,,memory_skips1,memory_skips1,7,image,Screen 3,zz7hbh,1,response,4,2099.5,2083.0999999999985,2099.5,2099.5,2083.0999999999985,2099.5,1,2099.5,0,0,,Keyboard Response,Image,1,object-1907,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,J,,target,
