Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1725476425674,04/09/2024 19:00:25,1725454825674,-6,04/09/2024 07:00:25,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725476427264,04/09/2024 19:00:27,1725454827264,-6,04/09/2024 07:00:27,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1449.4000000119208,1448.1,1449.4000000119208,1449.4000000119208,1448.1,1449.4000000119208,1,1449.4000000119208,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1725476436325,04/09/2024 19:00:36,1725454836325,-6,04/09/2024 07:00:36,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,9062.300000011921,9056.8,9062.300000011921,9062.300000011921,9056.8,9062.300000011921,1,9062.300000011921,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1725476436334,04/09/2024 19:00:36,1725454836334,-6,04/09/2024 07:00:36,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,14.100000005961192,0,14.100000005961192,14.100000005961192,0,14.100000005961192,1,14.100000005961192,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1725476447706,04/09/2024 19:00:47,1725454847706,-6,04/09/2024 07:00:47,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,11384.000000011922,11370.8,11384.000000011922,11384.000000011922,11370.8,11384.000000011922,1,11384.000000011922,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1725476447708,04/09/2024 19:00:47,1725454847708,-6,04/09/2024 07:00:47,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,7774.799999999999,11370.8,11387.3,7774.799999999999,11370.8,11387.3,1,7774.799999999999,3612.5,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1725476447712,04/09/2024 19:00:47,1725454847712,-6,04/09/2024 07:00:47,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1725476470136,04/09/2024 19:01:10,1725454870136,-6,04/09/2024 07:01:10,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,22445.700000011922,22442.1,22445.700000011922,22445.700000011922,22442.1,22445.700000011922,1,22445.700000011922,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1725476470138,04/09/2024 19:01:10,1725454870138,-6,04/09/2024 07:01:10,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,16981.5,22442.1,22448.100000017883,16981.5,22442.1,22448.100000017883,1,16981.5,5466.600000017883,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1725476470139,04/09/2024 19:01:10,1725454870139,-6,04/09/2024 07:01:10,187932,2,task-o7gw,repeat-tj2w#1,39883569,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating Practice,7,Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1725476756679,04/09/2024 19:05:56,1725462356679,-4,04/09/2024 11:05:56,187932,2,task-o7gw,repeat-tj2w#2,39883644,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725476758862,04/09/2024 19:05:58,1725462358862,-4,04/09/2024 11:05:58,187932,2,task-o7gw,repeat-tj2w#2,39883644,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,2064.9999999046327,2049.2000000000003,2064.9999999046327,2064.9999999046327,2049.2000000000003,2064.9999999046327,1,2064.9999999046327,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
