Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1724949720871,29/08/2024 16:42:00,1724935320871,-4,29/08/2024 08:42:00,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1724949740858,29/08/2024 16:42:20,1724935340858,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Age:,response,value,37,,,Number Entry,2,object-4
3,1724949740858,29/08/2024 16:42:20,1724935340858,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Gender:,response,value,Female,,Male|Female|Not listed/Other,Multiple Choice,3,object-6
4,1724949740858,29/08/2024 16:42:20,1724935340858,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Gender:,response,quantised,2,,Male|Female|Not listed/Other,Multiple Choice,3,object-6
5,1724949740859,29/08/2024 16:42:20,1724935340859,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Black or African American,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
6,1724949740859,29/08/2024 16:42:20,1724935340859,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,White,1,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
7,1724949740859,29/08/2024 16:42:20,1724935340859,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Asian,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
8,1724949740860,29/08/2024 16:42:20,1724935340860,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Native Hawaiian or Pacific Islander,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
9,1724949740860,29/08/2024 16:42:20,1724935340860,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,American Indian/Alaska Native,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
10,1724949740860,29/08/2024 16:42:20,1724935340860,-4,29/08/2024 08:42:20,187004,3,questionnaire-ngcx,,39777120,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,__other,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
