Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1725038831913,30/08/2024 17:27:11,1725024431913,-4,30/08/2024 09:27:11,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2,39797266,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1725038844504,30/08/2024 17:27:24,1725024444504,-4,30/08/2024 09:27:24,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2,39797266,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1725039311307,30/08/2024 17:35:11,1725017711307,-6,30/08/2024 05:35:11,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#2,39797371,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1725039314566,30/08/2024 17:35:14,1725017714566,-6,30/08/2024 05:35:14,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#2,39797371,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,,,,,
1,1725039410107,30/08/2024 17:36:50,1725025010107,-4,30/08/2024 09:36:50,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,39797402,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1725039460845,30/08/2024 17:37:40,1725025060845,-4,30/08/2024 09:37:40,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,39797402,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1725039746375,30/08/2024 17:42:26,1725025346375,-4,30/08/2024 09:42:26,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,39797470,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1725039759046,30/08/2024 17:42:39,1725025359046,-4,30/08/2024 09:42:39,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,39797470,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1725042112208,30/08/2024 18:21:52,1725020512208,-6,30/08/2024 06:21:52,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1,39797880,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,BEGIN,,,,,
2,1725042125681,30/08/2024 18:22:05,1725020525681,-6,30/08/2024 06:22:05,187004,3,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1,39797880,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,END,,,,,
1,1725043460433,30/08/2024 18:44:20,1725029060433,-4,30/08/2024 10:44:20,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,39798122,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1725043476219,30/08/2024 18:44:36,1725029076219,-4,30/08/2024 10:44:36,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,39798122,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1725046152812,30/08/2024 19:29:12,1725028152812,-5,30/08/2024 09:29:12,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-ku6w#2,39798509,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1725046165587,30/08/2024 19:29:25,1725028165587,-5,30/08/2024 09:29:25,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-ku6w#2,39798509,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1725472645520,04/09/2024 17:57:25,1725458245520,-4,04/09/2024 09:57:25,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3,39882728,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1841x911,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
