Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1724949889689,29/08/2024 16:44:49,1724935489689,-4,29/08/2024 08:44:49,187004,3,task-3bxn,repeat-3dmk#2,39777191,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949892740,29/08/2024 16:44:52,1724935492740,-4,29/08/2024 08:44:52,187004,3,task-3bxn,repeat-3dmk#2,39777191,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3057.9700000238417,3050.2699999999995,3057.9700000238417,3057.9700000238417,3050.2699999999995,3057.9700000238417,1,3057.9700000238417,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1724949892741,29/08/2024 16:44:52,1724935492741,-4,29/08/2024 08:44:52,187004,3,task-3bxn,repeat-3dmk#2,39777191,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949942813,29/08/2024 16:45:42,1724935542813,-4,29/08/2024 08:45:42,187004,3,task-3bxn,repeat-3dmk#2,39777216,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949946386,29/08/2024 16:45:46,1724935546386,-4,29/08/2024 08:45:46,187004,3,task-3bxn,repeat-3dmk#2,39777216,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3590.536000023842,3583.0360000000005,3590.536000023842,3590.536000023842,3583.0360000000005,3590.536000023842,1,3590.536000023842,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1724949946387,29/08/2024 16:45:46,1724935546387,-4,29/08/2024 08:45:46,187004,3,task-3bxn,repeat-3dmk#2,39777216,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724950013507,29/08/2024 16:46:53,1724932013507,-5,29/08/2024 06:46:53,187004,3,task-3bxn,repeat-3dmk#4,39777236,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724950017647,29/08/2024 16:46:57,1724932017647,-5,29/08/2024 06:46:57,187004,3,task-3bxn,repeat-3dmk#4,39777236,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,4159.741999976159,4150.342000000001,4159.741999976159,4159.741999976159,4150.342000000001,4159.741999976159,1,4159.741999976159,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1724950017648,29/08/2024 16:46:57,1724932017648,-5,29/08/2024 06:46:57,187004,3,task-3bxn,repeat-3dmk#4,39777236,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724950109827,29/08/2024 16:48:29,1724928509827,-6,29/08/2024 04:48:29,187004,3,task-3bxn,repeat-3dmk#3,39777266,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
