Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725037720923,30/08/2024 17:08:40,1725023320923,-4,30/08/2024 09:08:40,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#2,39796901,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725037724182,30/08/2024 17:08:44,1725023324182,-4,30/08/2024 09:08:44,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#2,39796901,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3264.9100000000008,3248.51,3264.9100000000008,3264.9100000000008,3248.51,3264.9100000000008,1,3264.9100000000008,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,36
3,1725037724186,30/08/2024 17:08:44,1725023324186,-4,30/08/2024 09:08:44,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#2,39796901,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725041298569,30/08/2024 18:08:18,1725019698569,-6,30/08/2024 06:08:18,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#1,39797706,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725041305903,30/08/2024 18:08:25,1725019705903,-6,30/08/2024 06:08:25,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#1,39797706,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,7343.208000001117,7338.2080000000005,7343.208000001117,7343.208000001117,7338.2080000000005,7343.208000001117,1,7343.208000001117,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1725041305905,30/08/2024 18:08:25,1725019705905,-6,30/08/2024 06:08:25,187004,3,task-4d82,repeat-3dmk#3->-repeat-ku6w#1,39797706,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725044873601,30/08/2024 19:07:53,1725026873601,-5,30/08/2024 09:07:53,187004,3,task-4d82,repeat-3dmk#4->-repeat-ku6w#2,39798343,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725044876076,30/08/2024 19:07:56,1725026876076,-5,30/08/2024 09:07:56,187004,3,task-4d82,repeat-3dmk#4->-repeat-ku6w#2,39798343,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2492.8999999642374,2483.4000000000005,2492.8999999642374,2492.8999999642374,2483.4000000000005,2492.8999999642374,1,2492.8999999642374,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,35
3,1725044876077,30/08/2024 19:07:56,1725026876077,-5,30/08/2024 09:07:56,187004,3,task-4d82,repeat-3dmk#4->-repeat-ku6w#2,39798343,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725472098650,04/09/2024 17:48:18,1725457698650,-4,04/09/2024 09:48:18,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#3,39882567,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1841x911,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725472100266,04/09/2024 17:48:20,1725457700266,-4,04/09/2024 09:48:20,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#3,39882567,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1841x911,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1619,1616.8999999999996,1619,1619,1616.8999999999996,1619,1,1619,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,38
3,1725472100266,04/09/2024 17:48:20,1725457700266,-4,04/09/2024 09:48:20,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#3,39882567,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1841x911,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725476143785,04/09/2024 18:55:43,1725458143785,-5,04/09/2024 08:55:43,187004,3,task-4d82,repeat-3dmk#6->-repeat-ku6w#3,39883523,BLIND,11658164,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x768,1024x768,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725476150757,04/09/2024 18:55:50,1725458150757,-5,04/09/2024 08:55:50,187004,3,task-4d82,repeat-3dmk#6->-repeat-ku6w#3,39883523,BLIND,11658164,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x768,1024x768,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,14005,13989.4,14005,14005,13989.4,14005,1,14005,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,32
3,1725476150758,04/09/2024 18:55:50,1725458150758,-5,04/09/2024 08:55:50,187004,3,task-4d82,repeat-3dmk#6->-repeat-ku6w#3,39883523,BLIND,11658164,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x768,1024x768,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725477917114,04/09/2024 19:25:17,1725452717114,-7,04/09/2024 05:25:17,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#1,39883864,BLIND,11658166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725477930142,04/09/2024 19:25:30,1725452730142,-7,04/09/2024 05:25:30,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#1,39883864,BLIND,11658166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,13036.98999998808,13030.990000000002,13036.98999998808,13036.98999998808,13030.990000000002,13036.98999998808,1,13036.98999998808,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,30
3,1725477930147,04/09/2024 19:25:30,1725452730147,-7,04/09/2024 05:25:30,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#1,39883864,BLIND,11658166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725038431068,30/08/2024 17:20:31,1725024031068,-4,30/08/2024 09:20:31,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,39797170,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038433720,30/08/2024 17:20:33,1725024033720,-4,30/08/2024 09:20:33,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,39797170,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2661.82000000149,2650.32,2661.82000000149,2661.82000000149,2650.32,2661.82000000149,1,2661.82000000149,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,35
3,1725038433721,30/08/2024 17:20:33,1725024033721,-4,30/08/2024 09:20:33,187004,3,task-4d82,repeat-3dmk#2->-repeat-ku6w#2,39797170,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Advance (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
