Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725038413447,30/08/2024 17:20:13,1725016813447,-6,30/08/2024 05:20:13,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#2,39797162,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038415895,30/08/2024 17:20:15,1725016815895,-6,30/08/2024 05:20:15,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#2,39797162,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2470.4000000119213,2466.7000000000007,2470.4000000119213,2470.4000000119213,2466.7000000000007,2470.4000000119213,1,2470.4000000119213,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,56
3,1725038415896,30/08/2024 17:20:15,1725016815896,-6,30/08/2024 05:20:15,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#2,39797162,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725038539859,30/08/2024 17:22:19,1725024139859,-4,30/08/2024 09:22:19,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,39797204,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038543552,30/08/2024 17:22:23,1725024143552,-4,30/08/2024 09:22:23,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,39797204,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3706.3000000238417,3700.3,3706.3000000238417,3706.3000000238417,3700.3,3706.3000000238417,1,3706.3000000238417,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,75
3,1725038543554,30/08/2024 17:22:23,1725024143554,-4,30/08/2024 09:22:23,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,39797204,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725041207908,30/08/2024 18:06:47,1725026807908,-4,30/08/2024 10:06:47,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,39797686,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725041212508,30/08/2024 18:06:52,1725026812508,-4,30/08/2024 10:06:52,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,39797686,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,4610.299999994039,4599.7,4610.299999994039,4610.299999994039,4599.7,4610.299999994039,1,4610.299999994039,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,66
3,1725041212510,30/08/2024 18:06:52,1725026812510,-4,30/08/2024 10:06:52,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,39797686,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725476446252,04/09/2024 19:00:46,1725458446252,-5,04/09/2024 09:00:46,187004,3,task-7sj6,repeat-3dmk#3->-repeat-tj2w#3,39883573,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,692x552,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
