Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1725037998917,30/08/2024 17:13:18,1725023598917,-4,30/08/2024 09:13:18,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725038043684,30/08/2024 17:14:03,1725023643684,-4,30/08/2024 09:14:03,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,44002.50000000001,43985.700000000004,44002.50000000001,44002.50000000001,43985.700000000004,44002.50000000001,1,44002.50000000001,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1725038056568,30/08/2024 17:14:16,1725023656568,-4,30/08/2024 09:14:16,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,12907.300000143048,12895.699999999997,12907.300000143048,12907.300000143048,12895.699999999997,12907.300000143048,1,12907.300000143048,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1725038056607,30/08/2024 17:14:16,1725023656607,-4,30/08/2024 09:14:16,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.69999999999709,0,16.69999999999709,16.69999999999709,0,16.69999999999709,1,16.69999999999709,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1725038068928,30/08/2024 17:14:28,1725023668928,-4,30/08/2024 09:14:28,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,12370.5,12362.300000000003,12370.5,12370.5,12362.300000000003,12370.5,1,12370.5,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1725038068934,30/08/2024 17:14:28,1725023668934,-4,30/08/2024 09:14:28,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,10212.699999999997,12362.300000000003,12377.300000190735,10212.699999999997,12362.300000000003,12377.300000190735,1,10212.699999999997,2164.600000190738,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1725038068957,30/08/2024 17:14:28,1725023668957,-4,30/08/2024 09:14:28,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1725038076401,30/08/2024 17:14:36,1725023676401,-4,30/08/2024 09:14:36,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,7481.900000047681,7480.399999999994,7481.900000047681,7481.900000047681,7480.399999999994,7481.900000047681,1,7481.900000047681,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1725038076402,30/08/2024 17:14:36,1725023676402,-4,30/08/2024 09:14:36,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,6,4431.5,7480.399999999994,7483.199999999997,4431.5,7480.399999999994,7483.199999999997,1,4431.5,3051.699999999997,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1725038076405,30/08/2024 17:14:36,1725023676405,-4,30/08/2024 09:14:36,187004,3,task-cax2,repeat-3dmk#3->-repeat-ku6w#2,39796997,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
