Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
1,1724949707607,29/08/2024 16:41:47,1724928107607,-6,29/08/2024 04:41:47,187004,3,task-efz1,,39777113,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949756839,29/08/2024 16:42:36,1724928156839,-6,29/08/2024 04:42:36,187004,3,task-efz1,,39777113,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,49302.90000000001,49286.5,49302.90000000001,49302.90000000001,49286.5,49302.90000000001,1,49302.90000000001,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1724949756847,29/08/2024 16:42:36,1724928156847,-6,29/08/2024 04:42:36,187004,3,task-efz1,,39777113,BLIND,11638956,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949698764,29/08/2024 16:41:38,1724931698764,-5,29/08/2024 06:41:38,187004,3,task-efz1,,39777114,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949723525,29/08/2024 16:42:03,1724931723525,-5,29/08/2024 06:42:03,187004,3,task-efz1,,39777114,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,24781.602000023842,24767.402000000002,24781.602000023842,24781.602000023842,24767.402000000002,24781.602000023842,1,24781.602000023842,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1724949723528,29/08/2024 16:42:03,1724931723528,-5,29/08/2024 06:42:03,187004,3,task-efz1,,39777114,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949697557,29/08/2024 16:41:37,1724935297557,-4,29/08/2024 08:41:37,187004,3,task-efz1,,39777116,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949712871,29/08/2024 16:41:52,1724935312871,-4,29/08/2024 08:41:52,187004,3,task-efz1,,39777116,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,15339.099999976159,15335,15339.099999976159,15339.099999976159,15335,15339.099999976159,1,15339.099999976159,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1724949712874,29/08/2024 16:41:52,1724935312874,-4,29/08/2024 08:41:52,187004,3,task-efz1,,39777116,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949797372,29/08/2024 16:43:17,1724935397372,-4,29/08/2024 08:43:17,187004,3,task-efz1,,39777146,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949804258,29/08/2024 16:43:24,1724935404258,-4,29/08/2024 08:43:24,187004,3,task-efz1,,39777146,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,6895.06800000596,6883.168,6895.06800000596,6895.06800000596,6883.168,6895.06800000596,1,6895.06800000596,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1724949804260,29/08/2024 16:43:24,1724935404260,-4,29/08/2024 08:43:24,187004,3,task-efz1,,39777146,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949861102,29/08/2024 16:44:21,1724935461102,-4,29/08/2024 08:44:21,187004,3,task-efz1,,39777176,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724950344970,29/08/2024 16:52:24,1724935944970,-4,29/08/2024 08:52:24,187004,3,task-efz1,,39777176,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1024x463,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,483899.3139999881,483890.614,483899.3139999881,483899.3139999881,483890.614,483899.3139999881,1,483899.3139999881,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
