Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725038217691,30/08/2024 17:16:57,1725023817691,-4,30/08/2024 09:16:57,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725038222893,30/08/2024 17:17:02,1725023822893,-4,30/08/2024 09:17:02,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,4660.9999999761585,4649.9,4660.9999999761585,4660.9999999761585,4649.9,4660.9999999761585,1,4660.9999999761585,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725038235463,30/08/2024 17:17:15,1725023835463,-4,30/08/2024 09:17:15,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,12581.2,12567.900000000001,12581.2,12581.2,12567.900000000001,12581.2,1,12581.2,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725038249590,30/08/2024 17:17:29,1725023849590,-4,30/08/2024 09:17:29,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,14140.499999928474,14134.600000000002,14140.499999928474,14140.499999928474,14134.600000000002,14140.499999928474,1,14140.499999928474,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725038262389,30/08/2024 17:17:42,1725023862389,-4,30/08/2024 09:17:42,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,12805.499999952313,12801.199999999997,12805.499999952313,12805.499999952313,12801.199999999997,12805.499999952313,1,12805.499999952313,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725038274020,30/08/2024 17:17:54,1725023874020,-4,30/08/2024 09:17:54,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,11635.399999976158,11634.400000000001,11635.399999976158,11635.399999976158,11634.400000000001,11635.399999976158,1,11635.399999976158,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725038274029,30/08/2024 17:17:54,1725023874029,-4,30/08/2024 09:17:54,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797083,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725038261392,30/08/2024 17:17:41,1725016661392,-6,30/08/2024 05:17:41,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725038263537,30/08/2024 17:17:43,1725016663537,-6,30/08/2024 05:17:43,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1993.4999999821184,1983.1999999999998,1993.4999999821184,1993.4999999821184,1983.1999999999998,1993.4999999821184,1,1993.4999999821184,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725038272876,30/08/2024 17:17:52,1725016672876,-6,30/08/2024 05:17:52,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,9350.699999988079,9335,9350.699999988079,9350.699999988079,9335,9350.699999988079,1,9350.699999988079,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725038275912,30/08/2024 17:17:55,1725016675912,-6,30/08/2024 05:17:55,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,3050.2999999999956,3033.5999999999985,3050.2999999999956,3050.2999999999956,3033.5999999999985,3050.2999999999956,1,3050.2999999999956,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725038282468,30/08/2024 17:18:02,1725016682468,-6,30/08/2024 05:18:02,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,6573.800000005962,6567.100000000002,6573.800000005962,6573.800000005962,6567.100000000002,6573.800000005962,1,6573.800000005962,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725038287407,30/08/2024 17:18:07,1725016687407,-6,30/08/2024 05:18:07,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,4945.20000000596,4933.700000000001,4945.20000000596,4945.20000000596,4933.700000000001,4945.20000000596,1,4945.20000000596,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725038287414,30/08/2024 17:18:07,1725016687414,-6,30/08/2024 05:18:07,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,39797098,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725038347202,30/08/2024 17:19:07,1725016747202,-6,30/08/2024 05:19:07,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,39797131,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725038349689,30/08/2024 17:19:09,1725016749689,-6,30/08/2024 05:19:09,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,39797131,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2405.0000000059604,2400.9999999999995,2405.0000000059604,2405.0000000059604,2400.9999999999995,2405.0000000059604,1,2405.0000000059604,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725038355021,30/08/2024 17:19:15,1725016755021,-6,30/08/2024 05:19:15,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,39797131,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,5336.000000005961,5332.6,5336.000000005961,5336.000000005961,5332.6,5336.000000005961,1,5336.000000005961,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725038360092,30/08/2024 17:19:20,1725016760092,-6,30/08/2024 05:19:20,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,39797131,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,5074.4000000059605,5068,5074.4000000059605,5074.4000000059605,5068,5074.4000000059605,1,5074.4000000059605,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725038367993,30/08/2024 17:19:27,1725016767993,-6,30/08/2024 05:19:27,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,39797131,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,7907.4000000059605,7900.799999999999,7907.4000000059605,7907.4000000059605,7900.799999999999,7907.4000000059605,1,7907.4000000059605,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725038370224,30/08/2024 17:19:30,1725016770224,-6,30/08/2024 05:19:30,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,39797131,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,2237.9999999821193,2233,2237.9999999821193,2237.9999999821193,2233,2237.9999999821193,1,2237.9999999821193,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
