Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725037604269,30/08/2024 17:06:44,1725023204269,-4,30/08/2024 09:06:44,187004,3,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,39796877,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725037607942,30/08/2024 17:06:47,1725023207942,-4,30/08/2024 09:06:47,187004,3,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,39796877,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3685.7180000476837,3681.518,3685.7180000476837,3685.7180000476837,3681.518,3685.7180000476837,1,3685.7180000476837,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,36
3,1725037607946,30/08/2024 17:06:47,1725023207946,-4,30/08/2024 09:06:47,187004,3,task-lon4,repeat-3dmk#3->-repeat-ku6w#1,39796877,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725038369879,30/08/2024 17:19:29,1725023969879,-4,30/08/2024 09:19:29,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,39797143,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038378954,30/08/2024 17:19:38,1725023978954,-4,30/08/2024 09:19:38,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,39797143,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,9093.6,9082.5,9093.6,9093.6,9082.5,9093.6,1,9093.6,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,35
3,1725038378955,30/08/2024 17:19:38,1725023978955,-4,30/08/2024 09:19:38,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,39797143,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725044771553,30/08/2024 19:06:11,1725026771553,-5,30/08/2024 09:06:11,187004,3,task-lon4,repeat-3dmk#4->-repeat-ku6w#1,39798321,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725044774426,30/08/2024 19:06:14,1725026774426,-5,30/08/2024 09:06:14,187004,3,task-lon4,repeat-3dmk#4->-repeat-ku6w#1,39798321,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,2877.6899999642374,2867.29,2877.6899999642374,2877.6899999642374,2867.29,2877.6899999642374,1,2877.6899999642374,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,35
3,1725044774427,30/08/2024 19:06:14,1725026774427,-5,30/08/2024 09:06:14,187004,3,task-lon4,repeat-3dmk#4->-repeat-ku6w#1,39798321,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry (Memory),2,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725471958587,04/09/2024 17:45:58,1725457558587,-4,04/09/2024 09:45:58,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,39882513,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1841x911,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
