Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725038340290,30/08/2024 17:19:00,1725016740290,-6,30/08/2024 05:19:00,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797126,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038341914,30/08/2024 17:19:01,1725016741914,-6,30/08/2024 05:19:01,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797126,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1639.3000000000002,1633.5,1639.3000000000002,1639.3000000000002,1633.5,1639.3000000000002,1,1639.3000000000002,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,56
3,1725038341915,30/08/2024 17:19:01,1725016741915,-6,30/08/2024 05:19:01,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797126,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725038338595,30/08/2024 17:18:58,1725023938595,-4,30/08/2024 09:18:58,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797127,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038342372,30/08/2024 17:19:02,1725023942372,-4,30/08/2024 09:19:02,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797127,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3783.8999999999996,3767.2,3783.8999999999996,3783.8999999999996,3767.2,3783.8999999999996,1,3783.8999999999996,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,75
3,1725038342374,30/08/2024 17:19:02,1725023942374,-4,30/08/2024 09:19:02,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797127,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725038473826,30/08/2024 17:21:13,1725024073826,-4,30/08/2024 09:21:13,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,39797192,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725038475377,30/08/2024 17:21:15,1725024075377,-4,30/08/2024 09:21:15,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,39797192,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1561.500000023842,1550.6,1561.500000023842,1561.500000023842,1550.6,1561.500000023842,1,1561.500000023842,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,75
3,1725038475378,30/08/2024 17:21:15,1725024075378,-4,30/08/2024 09:21:15,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#2,39797192,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725040929275,30/08/2024 18:02:09,1725026529275,-4,30/08/2024 10:02:09,187004,3,task-mkiw,repeat-3dmk#2->-repeat-tj2w#1,39797626,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Retry (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
