Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1724949845483,29/08/2024 16:44:05,1724935445483,-4,29/08/2024 08:44:05,187004,3,task-nkxf,repeat-3dmk#1,39777172,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949852821,29/08/2024 16:44:12,1724935452821,-4,29/08/2024 08:44:12,187004,3,task-nkxf,repeat-3dmk#1,39777172,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,7337.800000071526,7334.799999999999,7337.800000071526,7337.800000071526,7334.799999999999,7337.800000071526,1,7337.800000071526,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,0
3,1724949852822,29/08/2024 16:44:12,1724935452822,-4,29/08/2024 08:44:12,187004,3,task-nkxf,repeat-3dmk#1,39777172,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Retry,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949902259,29/08/2024 16:45:02,1724935502259,-4,29/08/2024 08:45:02,187004,3,task-nkxf,repeat-3dmk#1,39777196,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949905750,29/08/2024 16:45:05,1724935505750,-4,29/08/2024 08:45:05,187004,3,task-nkxf,repeat-3dmk#1,39777196,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3498.8000000000006,3482.2000000000003,3498.8000000000006,3498.8000000000006,3482.2000000000003,3498.8000000000006,1,3498.8000000000006,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,0
3,1724949905751,29/08/2024 16:45:05,1724935505751,-4,29/08/2024 08:45:05,187004,3,task-nkxf,repeat-3dmk#1,39777196,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1920x935,,,0,Retry,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949928565,29/08/2024 16:45:28,1724931928565,-5,29/08/2024 06:45:28,187004,3,task-nkxf,repeat-3dmk#1,39777212,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724949934173,29/08/2024 16:45:34,1724931934173,-5,29/08/2024 06:45:34,187004,3,task-nkxf,repeat-3dmk#1,39777212,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,5619.200000023842,5616.800000000001,5619.200000023842,5619.200000023842,5616.800000000001,5619.200000023842,1,5619.200000023842,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,2
3,1724949934173,29/08/2024 16:45:34,1724931934173,-5,29/08/2024 06:45:34,187004,3,task-nkxf,repeat-3dmk#1,39777212,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724949960394,29/08/2024 16:46:00,1724931960394,-5,29/08/2024 06:46:00,187004,3,task-nkxf,repeat-3dmk#2,39777222,BLIND,11638957,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Retry,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
