Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1725038691883,30/08/2024 17:24:51,1725017091883,-6,30/08/2024 05:24:51,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725038694436,30/08/2024 17:24:54,1725017094436,-6,30/08/2024 05:24:54,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1834.3000000000002,1817.6999999999998,1834.3000000000002,1834.3000000000002,1817.6999999999998,1834.3000000000002,1,1834.3000000000002,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1725038704431,30/08/2024 17:25:04,1725017104431,-6,30/08/2024 05:25:04,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,10011.99999998212,10000.8,10011.99999998212,10011.99999998212,10000.8,10011.99999998212,1,10011.99999998212,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1725038704449,30/08/2024 17:25:04,1725017104449,-6,30/08/2024 05:25:04,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1725038709809,30/08/2024 17:25:09,1725017109809,-6,30/08/2024 05:25:09,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,5388.9000000000015,5383.700000000001,5388.9000000000015,5388.9000000000015,5383.700000000001,5388.9000000000015,1,5388.9000000000015,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1725038709810,30/08/2024 17:25:09,1725017109810,-6,30/08/2024 05:25:09,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,3000.2000000000007,5383.700000000001,5389.999999994041,3000.2000000000007,5383.700000000001,5389.999999994041,1,3000.2000000000007,2389.7999999940403,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1725038709821,30/08/2024 17:25:09,1725017109821,-6,30/08/2024 05:25:09,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1725038713299,30/08/2024 17:25:13,1725017113299,-6,30/08/2024 05:25:13,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,3495.39999998808,3483.5,3495.39999998808,3495.39999998808,3483.5,3495.39999998808,1,3495.39999998808,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1725038713300,30/08/2024 17:25:13,1725017113300,-6,30/08/2024 05:25:13,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,6,2050.100000000002,3483.5,3495.9999999821193,2050.100000000002,3483.5,3495.9999999821193,1,2050.100000000002,1445.8999999821172,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1725038713301,30/08/2024 17:25:13,1725017113301,-6,30/08/2024 05:25:13,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#2,39797237,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1725038887862,30/08/2024 17:28:07,1725024487862,-4,30/08/2024 09:28:07,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725038892440,30/08/2024 17:28:12,1725024492440,-4,30/08/2024 09:28:12,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,4491.0000000238415,4483.700000000001,4491.0000000238415,4491.0000000238415,4483.700000000001,4491.0000000238415,1,4491.0000000238415,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1725038901564,30/08/2024 17:28:21,1725024501564,-4,30/08/2024 09:28:21,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,9131.499999952317,9117.400000000001,9131.499999952317,9131.499999952317,9117.400000000001,9131.499999952317,1,9131.499999952317,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1725038901599,30/08/2024 17:28:21,1725024501599,-4,30/08/2024 09:28:21,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1725038908704,30/08/2024 17:28:28,1725024508704,-4,30/08/2024 09:28:28,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,7140.900000023841,7134,7140.900000023841,7140.900000023841,7134,7140.900000023841,1,7140.900000023841,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1725038908705,30/08/2024 17:28:28,1725024508705,-4,30/08/2024 09:28:28,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,,7150.600000000002,7134,7150.600000000002,7150.600000000002,7134,7150.600000000002,1,7150.600000000002,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1725038908722,30/08/2024 17:28:28,1725024508722,-4,30/08/2024 09:28:28,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.600000000002183,0,16.600000000002183,16.600000000002183,0,16.600000000002183,1,16.600000000002183,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1725038922151,30/08/2024 17:28:42,1725024522151,-4,30/08/2024 09:28:42,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,13466.099999952316,13451.2,13466.099999952316,13466.099999952316,13451.2,13466.099999952316,1,13466.099999952316,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1725038922156,30/08/2024 17:28:42,1725024522156,-4,30/08/2024 09:28:42,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,,13467.8,13451.2,13467.8,13467.8,13451.2,13467.8,1,13467.8,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1725038922159,30/08/2024 17:28:42,1725024522159,-4,30/08/2024 09:28:42,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797287,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1725041504026,30/08/2024 18:11:44,1725027104026,-4,30/08/2024 10:11:44,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725041507484,30/08/2024 18:11:47,1725027107484,-4,30/08/2024 10:11:47,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,3321.8000000059606,3316.7000000000003,3321.8000000059606,3321.8000000059606,3316.7000000000003,3321.8000000059606,1,3321.8000000059606,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1725041523624,30/08/2024 18:12:03,1725027123624,-4,30/08/2024 10:12:03,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,16148.7,16133.400000000001,16148.7,16148.7,16133.400000000001,16148.7,1,16148.7,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1725041523642,30/08/2024 18:12:03,1725027123642,-4,30/08/2024 10:12:03,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,17,0,17,17,0,17,1,17,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1725041739218,30/08/2024 18:15:39,1725027339218,-4,30/08/2024 10:15:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,215638.89999999403,215629.09999999998,215638.89999999403,215638.89999999403,215629.09999999998,215638.89999999403,1,215638.89999999403,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1725041739220,30/08/2024 18:15:39,1725027339220,-4,30/08/2024 10:15:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,8,213129,215629.09999999998,215642.49999998807,213129,215629.09999999998,215642.49999998807,1,213129,2513.4999999880674,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1725041739236,30/08/2024 18:15:39,1725027339236,-4,30/08/2024 10:15:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1725041769733,30/08/2024 18:16:09,1725027369733,-4,30/08/2024 10:16:09,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,30535.79999999405,30532.5,30535.79999999405,30535.79999999405,30532.5,30535.79999999405,1,30535.79999999405,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1725041769738,30/08/2024 18:16:09,1725027369738,-4,30/08/2024 10:16:09,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,29049.20000000001,30532.5,30541.100000005972,29049.20000000001,30532.5,30541.100000005972,1,29049.20000000001,1491.9000000059605,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1725041769741,30/08/2024 18:16:09,1725027369741,-4,30/08/2024 10:16:09,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#3,39797747,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1229x691,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1725476635248,04/09/2024 19:03:55,1725458635248,-5,04/09/2024 09:03:55,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#3,39883617,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,692x327,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725476663059,04/09/2024 19:04:23,1725458663059,-5,04/09/2024 09:04:23,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#3,39883617,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,692x327,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,27240.200000095367,27233.3,27240.200000095367,27240.200000095367,27233.3,27240.200000095367,1,27240.200000095367,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1725476668164,04/09/2024 19:04:28,1725458668164,-5,04/09/2024 09:04:28,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#3,39883617,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,692x327,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,5112.10000038147,5099.800000000003,5112.10000038147,5112.10000038147,5099.800000000003,5112.10000038147,1,5112.10000038147,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1725476668174,04/09/2024 19:04:28,1725458668174,-5,04/09/2024 09:04:28,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#3,39883617,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,692x327,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
