Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1725037535810,30/08/2024 17:05:35,1725023135810,-4,30/08/2024 09:05:35,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725037545933,30/08/2024 17:05:45,1725023145933,-4,30/08/2024 09:05:45,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,10134.187999904632,10129.188,10134.187999904632,10134.187999904632,10129.188,10134.187999904632,1,10134.187999904632,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725037548915,30/08/2024 17:05:48,1725023148915,-4,30/08/2024 09:05:48,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3002.699999952316,2999.199999999999,3002.699999952316,3002.699999952316,2999.199999999999,3002.699999952316,1,3002.699999952316,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725037566928,30/08/2024 17:06:06,1725023166928,-4,30/08/2024 09:06:06,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,17993.8,17977.3,17993.8,17993.8,17977.3,17993.8,1,17993.8,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725037582598,30/08/2024 17:06:22,1725023182598,-4,30/08/2024 09:06:22,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,14708.299999952316,14695.199999999997,14708.299999952316,14708.299999952316,14695.199999999997,14708.299999952316,1,14708.299999952316,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1725037595853,30/08/2024 17:06:35,1725023195853,-4,30/08/2024 09:06:35,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,12255.499999904634,12245.700000000004,12255.499999904634,12255.499999904634,12245.700000000004,12255.499999904634,0,12255.499999904634,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1725037596832,30/08/2024 17:06:36,1725023196832,-4,30/08/2024 09:06:36,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#1,39796859,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1725037671305,30/08/2024 17:07:51,1725023271305,-4,30/08/2024 09:07:51,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,39796893,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725037673850,30/08/2024 17:07:53,1725023273850,-4,30/08/2024 09:07:53,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,39796893,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,2561.8959999523163,2549.296,2561.8959999523163,2561.8959999523163,2549.296,2561.8959999523163,1,2561.8959999523163,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725037676839,30/08/2024 17:07:56,1725023276839,-4,30/08/2024 09:07:56,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,39796893,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3004.000000047684,2998.5999999999995,3004.000000047684,3004.000000047684,2998.5999999999995,3004.000000047684,1,3004.000000047684,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725037683668,30/08/2024 17:08:03,1725023283668,-4,30/08/2024 09:08:03,187004,3,task-ugmz,repeat-3dmk#3->-repeat-ku6w#2,39796893,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,6797.299999999999,6781.1,6797.299999999999,6797.299999999999,6781.1,6797.299999999999,1,6797.299999999999,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
