Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1724949783530,29/08/2024 16:43:03,1724935383530,-4,29/08/2024 08:43:03,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1724949822103,29/08/2024 16:43:42,1724935422103,-4,29/08/2024 08:43:42,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,38410.89999997616,38404.1,38410.89999997616,38410.89999997616,38404.1,38410.89999997616,1,38410.89999997616,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1724949827164,29/08/2024 16:43:47,1724935427164,-4,29/08/2024 08:43:47,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,5065.000000023843,5049.9000000000015,5065.000000023843,5065.000000023843,5049.9000000000015,5065.000000023843,1,5065.000000023843,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1724949830147,29/08/2024 16:43:50,1724935430147,-4,29/08/2024 08:43:50,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3004.5,3000.300000000003,3004.5,3004.5,3000.300000000003,3004.5,1,3004.5,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1724949831145,29/08/2024 16:43:51,1724935431145,-4,29/08/2024 08:43:51,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1724949832128,29/08/2024 16:43:52,1724935432128,-4,29/08/2024 08:43:52,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500.29999999999563,500.29999999999563,500.29999999999563,500.29999999999563,500.29999999999563,500.29999999999563,1,500.29999999999563,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1724949833128,29/08/2024 16:43:53,1724935433128,-4,29/08/2024 08:43:53,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,J,1000.4000000000015,1000.4000000000015,1000.4000000000015,1000.4000000000015,1000.4000000000015,1000.4000000000015,0,1000.4000000000015,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1724949834111,29/08/2024 16:43:54,1724935434111,-4,29/08/2024 08:43:54,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,1,500.09999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1724949835111,29/08/2024 16:43:55,1724935435111,-4,29/08/2024 08:43:55,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,J,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1724949836095,29/08/2024 16:43:56,1724935436095,-4,29/08/2024 08:43:56,187004,3,task-wzke,repeat-3dmk#1,39777142,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1366x768,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500.59999999999854,500.59999999999854,500.59999999999854,500.59999999999854,500.59999999999854,500.59999999999854,1,500.59999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
