Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725037341432,30/08/2024 17:02:21,1725022941432,-4,30/08/2024 09:02:21,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725037344924,30/08/2024 17:02:24,1725022944924,-4,30/08/2024 09:02:24,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2758.100000190735,2749.0999999999995,2758.100000190735,2758.100000190735,2749.0999999999995,2758.100000190735,1,2758.100000190735,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725037363182,30/08/2024 17:02:43,1725022963182,-4,30/08/2024 09:02:43,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,18268.500000190736,18260.9,18268.500000190736,18268.500000190736,18260.9,18268.500000190736,1,18268.500000190736,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725037374779,30/08/2024 17:02:54,1725022974779,-4,30/08/2024 09:02:54,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,11605.40000014305,11595.7,11605.40000014305,11605.40000014305,11595.7,11605.40000014305,1,11605.40000014305,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725037398365,30/08/2024 17:03:18,1725022998365,-4,30/08/2024 09:03:18,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,23592.899999999994,23575.799999999996,23592.899999999994,23592.899999999994,23575.799999999996,23592.899999999994,1,23592.899999999994,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725037526837,30/08/2024 17:05:26,1725023126837,-4,30/08/2024 09:05:26,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,128489.3,128472.90000000001,128489.3,128489.3,128472.90000000001,128489.3,1,128489.3,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725037526867,30/08/2024 17:05:26,1725023126867,-4,30/08/2024 09:05:26,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,39796828,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725037613951,30/08/2024 17:06:53,1725023213951,-4,30/08/2024 09:06:53,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725037617841,30/08/2024 17:06:57,1725023217841,-4,30/08/2024 09:06:57,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,3782.7000000000007,3765.9000000000005,3782.7000000000007,3782.7000000000007,3765.9000000000005,3782.7000000000007,1,3782.7000000000007,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725037626243,30/08/2024 17:07:06,1725023226243,-4,30/08/2024 09:07:06,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,8422.199999952316,8413.5,8422.199999952316,8422.199999952316,8413.5,8422.199999952316,1,8422.199999952316,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725037633128,30/08/2024 17:07:13,1725023233128,-4,30/08/2024 09:07:13,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,6892.699999952316,6880.9,6892.699999952316,6892.699999952316,6880.9,6892.699999952316,1,6892.699999952316,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725037649998,30/08/2024 17:07:29,1725023249998,-4,30/08/2024 09:07:29,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,16882.299999952316,16877.699999999997,16882.299999952316,16882.299999952316,16877.699999999997,16882.299999952316,1,16882.299999952316,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725037664608,30/08/2024 17:07:44,1725023264608,-4,30/08/2024 09:07:44,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,14612.200000000004,14595.300000000003,14612.200000000004,14612.200000000004,14595.300000000003,14612.200000000004,1,14612.200000000004,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725037664616,30/08/2024 17:07:44,1725023264616,-4,30/08/2024 09:07:44,187004,3,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,39796882,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725038156438,30/08/2024 17:15:56,1725023756438,-4,30/08/2024 09:15:56,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,39797057,BLIND,11638968,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1920x1080,1881x824,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
