Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1725038284816,30/08/2024 17:18:04,1725023884816,-4,30/08/2024 09:18:04,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725038294039,30/08/2024 17:18:14,1725023894039,-4,30/08/2024 09:18:14,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,9230.800000023843,9217.8,9230.800000023843,9230.800000023843,9217.8,9230.800000023843,1,9230.800000023843,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725038297022,30/08/2024 17:18:17,1725023897022,-4,30/08/2024 09:18:17,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.800000095367,3000.2999999999993,3000.800000095367,3000.800000095367,3000.2999999999993,3000.800000095367,1,3000.800000095367,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725038301271,30/08/2024 17:18:21,1725023901271,-4,30/08/2024 09:18:21,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,4249.000000095368,4233.6,4249.000000095368,4249.000000095368,4233.6,4249.000000095368,1,4249.000000095368,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725038313610,30/08/2024 17:18:33,1725023913610,-4,30/08/2024 09:18:33,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,11351.100000000002,11334.400000000001,11351.100000000002,11351.100000000002,11334.400000000001,11351.100000000002,0,11351.100000000002,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1725038326421,30/08/2024 17:18:46,1725023926421,-4,30/08/2024 09:18:46,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,6,11830.700000047684,11818.5,11830.700000047684,11830.700000047684,11818.5,11830.700000047684,0,11830.700000047684,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,3
7,1725038327416,30/08/2024 17:18:47,1725023927416,-4,30/08/2024 09:18:47,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797105,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1725038292579,30/08/2024 17:18:12,1725016692579,-6,30/08/2024 05:18:12,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797111,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725038297736,30/08/2024 17:18:17,1725016697736,-6,30/08/2024 05:18:17,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797111,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,5173.63599999404,5167.936,5173.63599999404,5173.63599999404,5167.936,5173.63599999404,1,5173.63599999404,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725038300730,30/08/2024 17:18:20,1725016700730,-6,30/08/2024 05:18:20,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,39797111,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x788,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.1000000000004,3000.300000000001,3001.1000000000004,3001.1000000000004,3000.300000000001,3001.1000000000004,1,3001.1000000000004,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
