Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725037731967,30/08/2024 17:08:51,1725023331967,-4,30/08/2024 09:08:51,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725037791945,30/08/2024 17:09:51,1725023391945,-4,30/08/2024 09:09:51,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 8,bajjy3,1,timedOut,,60011.464,59996.064,60011.464,60011.464,59996.064,60011.464,1,60011.464,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
3,1725037794929,30/08/2024 17:09:54,1725023394929,-4,30/08/2024 09:09:54,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,1,instructions,Screen 9,bxwq68,2,timedOut,,3000.1999999523177,2999.0000000000073,3000.1999999523177,3000.1999999523177,2999.0000000000073,3000.1999999523177,1,3000.1999999523177,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1725037800625,30/08/2024 17:10:00,1725023400625,-4,30/08/2024 09:10:00,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,1,image,Screen 3,zz7hbh,1,response,1,5697.399999999994,5681.399999999994,5697.399999999994,5697.399999999994,5681.399999999994,5697.399999999994,1,5697.399999999994,0,0,,Keyboard Response,Image,1,object-1907,image,87,6cb2b2a420aafa64f282ef22e112d0b2.jpg,target,F,,filler,
5,1725037803756,30/08/2024 17:10:03,1725023403756,-4,30/08/2024 09:10:03,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,2,image,Screen 3,zz7hbh,1,response,2,3146.7999999523163,3132.399999999994,3146.7999999523163,3146.7999999523163,3132.399999999994,3146.7999999523163,1,3146.7999999523163,0,0,,Keyboard Response,Image,1,object-1907,image,247,NegMidNonsoc_21.jpg,target,J,,target,
6,1725037805326,30/08/2024 17:10:05,1725023405326,-4,30/08/2024 09:10:05,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,3,image,Screen 3,zz7hbh,1,response,2,1582.5999999999913,1566,1582.5999999999913,1582.5999999999913,1566,1582.5999999999913,1,1582.5999999999913,0,0,,Keyboard Response,Image,1,object-1907,image,2241,3be1dc1cbac8f940252b3cb095d56548.jpg,target,J,,target,
7,1725037808444,30/08/2024 17:10:08,1725023408444,-4,30/08/2024 09:10:08,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,4,image,Screen 3,zz7hbh,1,response,4,3136.100000000006,3132.2000000000116,3136.100000000006,3136.100000000006,3132.2000000000116,3136.100000000006,1,3136.100000000006,0,0,,Keyboard Response,Image,1,object-1907,image,119,NeutMidNonsoc_6.jpg,target,J,,target,
8,1725037811700,30/08/2024 17:10:11,1725023411700,-4,30/08/2024 09:10:11,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,5,image,Screen 3,zz7hbh,1,response,4,3259.9999999046267,3249,3259.9999999046267,3259.9999999046267,3249,3259.9999999046267,1,3259.9999999046267,0,0,,Keyboard Response,Image,1,object-1907,image,335,2a108677e97ca05cfd3ffaf1bcf4ab6f.jpg,target,F,,filler,
9,1725037814015,30/08/2024 17:10:14,1725023414015,-4,30/08/2024 09:10:14,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,6,image,Screen 3,zz7hbh,1,response,1,2326.399999999994,2315.5,2326.399999999994,2326.399999999994,2315.5,2326.399999999994,1,2326.399999999994,0,0,,Keyboard Response,Image,1,object-1907,image,31,Landscapes_005_h.jpg,target,F,,filler,
10,1725037816152,30/08/2024 17:10:16,1725023416152,-4,30/08/2024 09:10:16,187004,3,task-tak4,repeat-3dmk#3->-repeat-ku6w#2,39796904,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,767x730,,,0,Memory Task (Clone 3),8,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_skips1,memory_skips1,7,image,Screen 3,zz7hbh,1,response,1,2147.5999998092593,2133,2147.5999998092593,2147.5999998092593,2133,2147.5999998092593,1,2147.5999998092593,0,0,,Keyboard Response,Image,1,object-1907,image,15,d5b5180e8720bf487dc9154b77cb6821.jpg,target,F,,filler,
