Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725476475158,04/09/2024 19:01:15,1725454875158,-6,04/09/2024 07:01:15,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725476476210,04/09/2024 19:01:16,1725454876210,-6,04/09/2024 07:01:16,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,instructions,Screen 5,e3ks8t,1,continue,,1082.3040000059605,1081.2040000000002,1082.3040000059605,1082.3040000059605,1081.2040000000002,1082.3040000059605,1,1082.3040000059605,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,
3,1725476479206,04/09/2024 19:01:19,1725454879206,-6,04/09/2024 07:01:19,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,instructions,Screen 6,yf7ssf,2,timedOut,,2997.2,2996.8,2997.2,2997.2,2996.8,2997.2,1,2997.2,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,,
4,1725476479216,04/09/2024 19:01:19,1725454879216,-6,04/09/2024 07:01:19,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,info,,10.899999999999636,0,10.899999999999636,10.899999999999636,0,10.899999999999636,1,10.899999999999636,0,0,,Slider,Slider,4,object-51,image,303,NegHighNonsoc_2.jpg,target,,F,,target,
5,1725476484459,04/09/2024 19:01:24,1725454884459,-6,04/09/2024 07:01:24,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,continue,,5252.9,5244.199999999999,5252.9,5252.9,5244.199999999999,5252.9,1,5252.9,0,0,,Click To Continue,Continue Button,7,object-69,image,303,NegHighNonsoc_2.jpg,target,,F,,target,
6,1725476484459,04/09/2024 19:01:24,1725454884459,-6,04/09/2024 07:01:24,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,response,1,3729.5,5244.199999999999,5253.100000017881,3729.5,5244.199999999999,5253.100000017881,1,3729.5,1523.600000017881,0,,Slider,Slider,4,object-51,image,303,NegHighNonsoc_2.jpg,target,,F,,target,
7,1725476484462,04/09/2024 19:01:24,1725454884462,-6,04/09/2024 07:01:24,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,info,,11.800000023842586,0,11.800000023842586,11.800000023842586,0,11.800000023842586,1,11.800000023842586,0,0,,Slider,Slider,4,object-78,image,303,NegHighNonsoc_2.jpg,target,,F,,target,
8,1725476489877,04/09/2024 19:01:29,1725454889877,-6,04/09/2024 07:01:29,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,continue,,5426.700000000001,5410.799999999999,5426.700000000001,5426.700000000001,5410.799999999999,5426.700000000001,1,5426.700000000001,0,0,,Click To Continue,Continue Button,7,object-82,image,303,NegHighNonsoc_2.jpg,target,,F,,target,
9,1725476489882,04/09/2024 19:01:29,1725454889882,-6,04/09/2024 07:01:29,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,response,2,2547.1000000000004,5410.799999999999,5427.699999999997,2547.1000000000004,5410.799999999999,5427.699999999997,1,2547.1000000000004,2880.5999999999967,0,,Slider,Slider,4,object-78,image,303,NegHighNonsoc_2.jpg,target,,F,,target,
10,1725476489891,04/09/2024 19:01:29,1725454889891,-6,04/09/2024 07:01:29,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,info,,16.899999999997817,0,16.899999999997817,16.899999999997817,0,16.899999999997817,1,16.899999999997817,0,0,,Slider,Slider,4,object-51,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,,J,,filler,
