Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725476076575,04/09/2024 18:54:36,1725454476575,-6,04/09/2024 06:54:36,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725476087672,04/09/2024 18:54:47,1725454487672,-6,04/09/2024 06:54:47,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,1,instructions,Screen 8,bajjy3,1,continue,,11105.14200000596,11102.042,11105.14200000596,11105.14200000596,11102.042,11105.14200000596,1,11105.14200000596,0,0,,Click To Continue,Continue Button,2,object-1931,instructions,,,,,,,
3,1725476090667,04/09/2024 18:54:50,1725454490667,-6,04/09/2024 06:54:50,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,1,instructions,Screen 9,bxwq68,2,timedOut,,2997.4999999821193,2996.7000000000007,2997.4999999821193,2997.4999999821193,2996.7000000000007,2997.4999999821193,1,2997.4999999821193,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1725476094517,04/09/2024 18:54:54,1725454494517,-6,04/09/2024 06:54:54,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,1,image,Screen 3,zz7hbh,1,response,5,3851,3845.7999999999993,3851,3851,3845.7999999999993,3851,1,3851,0,0,,Keyboard Response,Image,1,object-1907,image,399,Solar panel 1.jpg,target,J,,filler,
5,1725476098885,04/09/2024 18:54:58,1725454498885,-6,04/09/2024 06:54:58,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,2,image,Screen 3,zz7hbh,1,response,4,4373.89999998808,4362,4373.89999998808,4373.89999998808,4362,4373.89999998808,1,4373.89999998808,0,0,,Keyboard Response,Image,1,object-1907,image,399,Landscapes_011_h.jpg,target,F,,target,
6,1725476101336,04/09/2024 18:55:01,1725454501336,-6,04/09/2024 06:55:01,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,3,image,Screen 3,zz7hbh,1,response,2,2463.100000005961,2447.4000000000015,2463.100000005961,2463.100000005961,2447.4000000000015,2463.100000005961,1,2463.100000005961,0,0,,Keyboard Response,Image,1,object-1907,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,F,,target,
7,1725476108545,04/09/2024 18:55:08,1725454508545,-6,04/09/2024 06:55:08,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,4,image,Screen 3,zz7hbh,1,response,6,7224.399999994039,7208.700000000001,7224.399999994039,7224.399999994039,7208.700000000001,7224.399999994039,1,7224.399999994039,0,0,,Keyboard Response,Image,1,object-1907,image,287,NeutMidNonsoc_8.jpg,target,J,,filler,
8,1725476112477,04/09/2024 18:55:12,1725454512477,-6,04/09/2024 06:55:12,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,5,image,Screen 3,zz7hbh,1,response,2,3948.2999999880776,3945.5,3948.2999999880776,3948.2999999880776,3945.5,3948.2999999880776,1,3948.2999999880776,0,0,,Keyboard Response,Image,1,object-1907,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,J,,filler,
9,1725476117256,04/09/2024 18:55:17,1725454517256,-6,04/09/2024 06:55:17,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,6,image,Screen 3,zz7hbh,1,response,1,4782.0999999999985,4778.0999999999985,4782.0999999999985,4782.0999999999985,4778.0999999999985,4782.0999999999985,1,4782.0999999999985,0,0,,Keyboard Response,Image,1,object-1907,image,7,NegMidNonsoc_20.jpg,target,F,,target,
10,1725476121952,04/09/2024 18:55:21,1725454521952,-6,04/09/2024 06:55:21,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,7,image,Screen 3,zz7hbh,1,response,4,4699.4000000059605,4694.800000000003,4699.4000000059605,4699.4000000059605,4694.800000000003,4699.4000000059605,1,4699.4000000059605,0,0,,Keyboard Response,Image,1,object-1907,image,15,d5b5180e8720bf487dc9154b77cb6821.jpg,target,F,,target,
