Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1728500712708,09/10/2024 19:05:12,1728475512708,-7,09/10/2024 05:05:12,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1728500722192,09/10/2024 19:05:22,1728475522192,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Age:,response,value,28,,,Number Entry,2,object-4
3,1728500722192,09/10/2024 19:05:22,1728475522192,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Gender:,response,value,Female,,Male|Female|Not listed/Other,Multiple Choice,3,object-6
4,1728500722192,09/10/2024 19:05:22,1728475522192,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Gender:,response,quantised,2,,Male|Female|Not listed/Other,Multiple Choice,3,object-6
5,1728500722192,09/10/2024 19:05:22,1728475522192,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Black or African American,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
6,1728500722192,09/10/2024 19:05:22,1728475522192,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,White,1,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
7,1728500722193,09/10/2024 19:05:22,1728475522193,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Asian,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
8,1728500722193,09/10/2024 19:05:22,1728475522193,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,Native Hawaiian or Pacific Islander,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
9,1728500722195,09/10/2024 19:05:22,1728475522195,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,American Indian/Alaska Native,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
10,1728500722195,09/10/2024 19:05:22,1728475522195,-7,09/10/2024 05:05:22,187004,3,questionnaire-ngcx,,40526565,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Demographics form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,jpvh8n,1,Race:,response,__other,0,,Black or African American|White|Asian|Native Hawaiian or Pacific Islander|American Indian/Alaska Native,Multiple Choice,4,object-2
