Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1728500730130,09/10/2024 19:05:30,1728475530130,-7,09/10/2024 05:05:30,187004,3,questionnaire-nzx6,,40526574,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1728500737199,09/10/2024 19:05:37,1728475537199,-7,09/10/2024 05:05:37,187004,3,questionnaire-nzx6,,40526574,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1728500737199,09/10/2024 19:05:37,1728475537199,-7,09/10/2024 05:05:37,187004,3,questionnaire-nzx6,,40526574,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1728506448139,09/10/2024 20:40:48,1728481248139,-7,09/10/2024 06:40:48,187004,3,questionnaire-nzx6,,40528373,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Consent Form,4,Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1728506481350,09/10/2024 20:41:21,1728481281350,-7,09/10/2024 06:41:21,187004,3,questionnaire-nzx6,,40528373,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Consent Form,4,Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1728506481350,09/10/2024 20:41:21,1728481281350,-7,09/10/2024 06:41:21,187004,3,questionnaire-nzx6,,40528373,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Consent Form,4,Accurate,2,,Inaccurate~Accurate,,,,,info,,END,,,,,
1,1728501075055,09/10/2024 19:11:15,1728486675055,-4,09/10/2024 11:11:15,187004,3,questionnaire-nzx6,,40526747,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1728501079542,09/10/2024 19:11:19,1728486679542,-4,09/10/2024 11:11:19,187004,3,questionnaire-nzx6,,40526747,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1728501079542,09/10/2024 19:11:19,1728486679542,-4,09/10/2024 11:11:19,187004,3,questionnaire-nzx6,,40526747,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Consent Form,4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1728500845029,09/10/2024 19:07:25,1728482845029,-5,09/10/2024 09:07:25,187004,3,questionnaire-nzx6,,40526630,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1728500876603,09/10/2024 19:07:56,1728482876603,-5,09/10/2024 09:07:56,187004,3,questionnaire-nzx6,,40526630,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1728500876604,09/10/2024 19:07:56,1728482876604,-5,09/10/2024 09:07:56,187004,3,questionnaire-nzx6,,40526630,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
END OF FILE
