Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1728500866143,09/10/2024 19:07:46,1728475666143,-7,09/10/2024 05:07:46,187004,3,task-3bxn,repeat-3dmk#2,40526638,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728500926886,09/10/2024 19:08:46,1728475726886,-7,09/10/2024 05:08:46,187004,3,task-3bxn,repeat-3dmk#2,40526638,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,60747.20000000894,60745.5,60747.20000000894,60747.20000000894,60745.5,60747.20000000894,1,60747.20000000894,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1728500926888,09/10/2024 19:08:46,1728475726888,-7,09/10/2024 05:08:46,187004,3,task-3bxn,repeat-3dmk#2,40526638,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Advance,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728501166698,09/10/2024 19:12:46,1728486766698,-4,09/10/2024 11:12:46,187004,3,task-3bxn,repeat-3dmk#2,40526799,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728501167885,09/10/2024 19:12:47,1728486767885,-4,09/10/2024 11:12:47,187004,3,task-3bxn,repeat-3dmk#2,40526799,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1190.30000000596,1182.8999999999996,1190.30000000596,1190.30000000596,1182.8999999999996,1190.30000000596,1,1190.30000000596,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1728501167887,09/10/2024 19:12:47,1728486767887,-4,09/10/2024 11:12:47,187004,3,task-3bxn,repeat-3dmk#2,40526799,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Advance,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728501188004,09/10/2024 19:13:08,1728483188004,-5,09/10/2024 09:13:08,187004,3,task-3bxn,repeat-3dmk#6,40526802,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728501190047,09/10/2024 19:13:10,1728483190047,-5,09/10/2024 09:13:10,187004,3,task-3bxn,repeat-3dmk#6,40526802,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2069.2,2064.3,2069.2,2069.2,2064.3,2069.2,1,2069.2,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1728501190050,09/10/2024 19:13:10,1728483190050,-5,09/10/2024 09:13:10,187004,3,task-3bxn,repeat-3dmk#6,40526802,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728506537359,09/10/2024 20:42:17,1728481337359,-7,09/10/2024 06:42:17,187004,3,task-3bxn,repeat-3dmk#1,40528410,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Advance,3,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728506558819,09/10/2024 20:42:38,1728481358819,-7,09/10/2024 06:42:38,187004,3,task-3bxn,repeat-3dmk#1,40528410,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Advance,3,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,21512.49600000014,21498.996000000003,21512.49600000014,21512.49600000014,21498.996000000003,21512.49600000014,1,21512.49600000014,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1728506558830,09/10/2024 20:42:38,1728481358830,-7,09/10/2024 06:42:38,187004,3,task-3bxn,repeat-3dmk#1,40528410,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Advance,3,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
