Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1728575967100,10/10/2024 15:59:27,1728550767100,-7,10/10/2024 01:59:27,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,40543538,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728575968523,10/10/2024 15:59:28,1728550768523,-7,10/10/2024 01:59:28,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,40543538,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,1425.499999999627,1423.5,1425.499999999627,1425.499999999627,1423.5,1425.499999999627,1,1425.499999999627,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,70
3,1728575968524,10/10/2024 15:59:28,1728550768524,-7,10/10/2024 01:59:28,187004,3,task-7sj6,repeat-3dmk#2->-repeat-tj2w#3,40543538,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Advance (Memory),2,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728576396544,10/10/2024 16:06:36,1728558396544,-5,10/10/2024 06:06:36,187004,3,task-7sj6,repeat-3dmk#6->-repeat-tj2w#3,40543716,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728576399033,10/10/2024 16:06:39,1728558399033,-5,10/10/2024 06:06:39,187004,3,task-7sj6,repeat-3dmk#6->-repeat-tj2w#3,40543716,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2509.848,2493.548,2509.848,2509.848,2493.548,2509.848,1,2509.848,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,61
3,1728576399036,10/10/2024 16:06:39,1728558399036,-5,10/10/2024 06:06:39,187004,3,task-7sj6,repeat-3dmk#6->-repeat-tj2w#3,40543716,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Advance (Memory),2,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728581789679,10/10/2024 17:36:29,1728556589679,-7,10/10/2024 03:36:29,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#2,40545599,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728581792000,10/10/2024 17:36:32,1728556592000,-7,10/10/2024 03:36:32,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#2,40545599,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2333.300000000001,2316.6000000000004,2333.300000000001,2333.300000000001,2316.6000000000004,2333.300000000001,1,2333.300000000001,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,67
3,1728581792004,10/10/2024 17:36:32,1728556592004,-7,10/10/2024 03:36:32,187004,3,task-7sj6,repeat-3dmk#1->-repeat-tj2w#2,40545599,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Advance (Memory),2,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
