Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1728586185675,10/10/2024 18:49:45,1728571785675,-4,10/10/2024 10:49:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1728586188180,10/10/2024 18:49:48,1728571788180,-4,10/10/2024 10:49:48,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,2402.500000005961,2398.8,2402.500000005961,2402.500000005961,2398.8,2402.500000005961,1,2402.500000005961,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1728586193837,10/10/2024 18:49:53,1728571793837,-4,10/10/2024 10:49:53,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,5661.500000017882,5647.2,5661.500000017882,5661.500000017882,5647.2,5661.500000017882,1,5661.500000017882,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1728586193850,10/10/2024 18:49:53,1728571793850,-4,10/10/2024 10:49:53,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.69999999999891,0,16.69999999999891,16.69999999999891,0,16.69999999999891,1,16.69999999999891,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1728586217225,10/10/2024 18:50:17,1728571817225,-4,10/10/2024 10:50:17,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,23401.40000001192,23388.4,23401.40000001192,23401.40000001192,23388.4,23401.40000001192,1,23401.40000001192,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1728586217229,10/10/2024 18:50:17,1728571817229,-4,10/10/2024 10:50:17,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,,23405.000000000007,23388.4,23405.000000000007,23405.000000000007,23388.4,23405.000000000007,1,23405.000000000007,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1728586217248,10/10/2024 18:50:17,1728571817248,-4,10/10/2024 10:50:17,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1728586220376,10/10/2024 18:50:20,1728571820376,-4,10/10/2024 10:50:20,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,3164.199999999997,3148.5999999999985,3164.199999999997,3164.199999999997,3148.5999999999985,3164.199999999997,1,3164.199999999997,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1728586220378,10/10/2024 18:50:20,1728571820378,-4,10/10/2024 10:50:20,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,,3165.199999999997,3148.5999999999985,3165.199999999997,3165.199999999997,3148.5999999999985,3165.199999999997,1,3165.199999999997,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1728586220381,10/10/2024 18:50:20,1728571820381,-4,10/10/2024 10:50:20,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#4,40547021,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
