Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
1,1728500743987,09/10/2024 19:05:43,1728482743987,-5,09/10/2024 09:05:43,187004,3,task-efz1,,40526578,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728500808271,09/10/2024 19:06:48,1728482808271,-5,09/10/2024 09:06:48,187004,3,task-efz1,,40526578,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,64288.499999999985,64271.899999999994,64288.499999999985,64288.499999999985,64271.899999999994,64288.499999999985,1,64288.499999999985,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728500808282,09/10/2024 19:06:48,1728482808282,-5,09/10/2024 09:06:48,187004,3,task-efz1,,40526578,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728506383573,09/10/2024 20:39:43,1728481183573,-7,09/10/2024 06:39:43,187004,3,task-efz1,,40528347,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728506420900,09/10/2024 20:40:20,1728481220900,-7,09/10/2024 06:40:20,187004,3,task-efz1,,40528347,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,37397.93,37381.33,37397.93,37397.93,37381.33,37397.93,1,37397.93,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728506420916,09/10/2024 20:40:20,1728481220916,-7,09/10/2024 06:40:20,187004,3,task-efz1,,40528347,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728501050348,09/10/2024 19:10:50,1728486650348,-4,09/10/2024 11:10:50,187004,3,task-efz1,,40526735,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728501058576,09/10/2024 19:10:58,1728486658576,-4,09/10/2024 11:10:58,187004,3,task-efz1,,40526735,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,8256.86800001192,8245.468,8256.86800001192,8256.86800001192,8245.468,8256.86800001192,1,8256.86800001192,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728501058577,09/10/2024 19:10:58,1728486658577,-4,09/10/2024 11:10:58,187004,3,task-efz1,,40526735,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728500669274,09/10/2024 19:04:29,1728475469274,-7,09/10/2024 05:04:29,187004,3,task-efz1,,40526550,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,956x944,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
