Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1728575696520,10/10/2024 15:54:56,1728550496520,-7,10/10/2024 01:54:56,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728575757377,10/10/2024 15:55:57,1728550557377,-7,10/10/2024 01:55:57,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,timedOut,,60003.00000000112,60002.5,60003.00000000112,60003.00000000112,60002.5,60003.00000000112,1,60003.00000000112,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
3,1728575777386,10/10/2024 15:56:17,1728550577386,-7,10/10/2024 01:56:17,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,20009.300000000003,20005.5,20009.300000000003,20009.300000000003,20005.5,20009.300000000003,1,20009.300000000003,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1728575786082,10/10/2024 15:56:26,1728550586082,-7,10/10/2024 01:56:26,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,8700.00000000112,8693.900000000009,8700.00000000112,8700.00000000112,8693.900000000009,8700.00000000112,1,8700.00000000112,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1728575790596,10/10/2024 15:56:30,1728550590596,-7,10/10/2024 01:56:30,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,4519.499999999622,4513.5,4519.499999999622,4519.499999999622,4513.5,4519.499999999622,1,4519.499999999622,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1728575795523,10/10/2024 15:56:35,1728550595523,-7,10/10/2024 01:56:35,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,4933.700000000739,4930.299999999988,4933.700000000739,4933.700000000739,4930.299999999988,4933.700000000739,1,4933.700000000739,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1728575795527,10/10/2024 15:56:35,1728550595527,-7,10/10/2024 01:56:35,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40543427,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728575870969,10/10/2024 15:57:50,1728550670969,-7,10/10/2024 01:57:50,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728575879503,10/10/2024 15:57:59,1728550679503,-7,10/10/2024 01:57:59,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,8523.499999999254,8520.2,8523.499999999254,8523.499999999254,8520.2,8523.499999999254,1,8523.499999999254,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1728575882149,10/10/2024 15:58:02,1728550682149,-7,10/10/2024 01:58:02,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,2648.699999999628,2645.6000000000004,2648.699999999628,2648.699999999628,2645.6000000000004,2648.699999999628,1,2648.699999999628,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1728575883126,10/10/2024 15:58:03,1728550683126,-7,10/10/2024 01:58:03,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,980.5999999996275,979.1000000000004,980.5999999996275,980.5999999996275,979.1000000000004,980.5999999996275,1,980.5999999996275,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1728575883708,10/10/2024 15:58:03,1728550683708,-7,10/10/2024 01:58:03,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,583.0999999999985,576.2999999999993,583.0999999999985,583.0999999999985,576.2999999999993,583.0999999999985,1,583.0999999999985,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1728575884138,10/10/2024 15:58:04,1728550684138,-7,10/10/2024 01:58:04,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,437.5,430.60000000000036,437.5,437.5,430.60000000000036,437.5,1,437.5,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1728575884140,10/10/2024 15:58:04,1728550684140,-7,10/10/2024 01:58:04,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,40543495,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728575973168,10/10/2024 15:59:33,1728557973168,-5,10/10/2024 05:59:33,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728575992398,10/10/2024 15:59:52,1728557992398,-5,10/10/2024 05:59:52,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,18215.4,18199.5,18215.4,18215.4,18199.5,18215.4,1,18215.4,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1728576074623,10/10/2024 16:01:14,1728558074623,-5,10/10/2024 06:01:14,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,82250.49999985695,82238.1,82250.49999985695,82250.49999985695,82238.1,82250.49999985695,1,82250.49999985695,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1728576097225,10/10/2024 16:01:37,1728558097225,-5,10/10/2024 06:01:37,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,22612.800000000017,22595.70000000001,22612.800000000017,22612.800000000017,22595.70000000001,22612.800000000017,1,22612.800000000017,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1728576101785,10/10/2024 16:01:41,1728558101785,-5,10/10/2024 06:01:41,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,4578.499999999971,4561.6999999999825,4578.499999999971,4578.499999999971,4561.6999999999825,4578.499999999971,1,4578.499999999971,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1728576125600,10/10/2024 16:02:05,1728558125600,-5,10/10/2024 06:02:05,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,23832.29999980927,23826.800000000017,23832.29999980927,23832.29999980927,23826.800000000017,23832.29999980927,1,23832.29999980927,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1728576125632,10/10/2024 16:02:05,1728558125632,-5,10/10/2024 06:02:05,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#1,40543540,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728576198907,10/10/2024 16:03:18,1728558198907,-5,10/10/2024 06:03:18,187004,3,task-i3u4,repeat-3dmk#6->-repeat-tj2w#2,40543632,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Memory Task (instr only),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
