Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Manipulation: Spreadsheet,Store: Total,Store: correct
1,1728500745104,09/10/2024 19:05:45,1728475545104,-7,09/10/2024 05:05:45,187004,3,task-icdl,,40526580,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728500769521,09/10/2024 19:06:09,1728475569521,-7,09/10/2024 05:06:09,187004,3,task-icdl,,40526580,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,24421.89999999106,24414.9,24421.89999999106,24421.89999999106,24414.9,24421.89999999106,1,24421.89999999106,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1728500769522,09/10/2024 19:06:09,1728475569522,-7,09/10/2024 05:06:09,187004,3,task-icdl,,40526580,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728500888644,09/10/2024 19:08:08,1728482888644,-5,09/10/2024 09:08:08,187004,3,task-icdl,,40526649,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728500893534,09/10/2024 19:08:13,1728482893534,-5,09/10/2024 09:08:13,187004,3,task-icdl,,40526649,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,4923.063999999999,4906.764,4923.063999999999,4923.063999999999,4906.764,4923.063999999999,1,4923.063999999999,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1728500893537,09/10/2024 19:08:13,1728482893537,-5,09/10/2024 09:08:13,187004,3,task-icdl,,40526649,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728501084349,09/10/2024 19:11:24,1728486684349,-4,09/10/2024 11:11:24,187004,3,task-icdl,,40526755,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728501085520,09/10/2024 19:11:25,1728486685520,-4,09/10/2024 11:11:25,187004,3,task-icdl,,40526755,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,3799.399999976158,3797.4,3799.399999976158,3799.399999976158,3797.4,3799.399999976158,1,3799.399999976158,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1728501085520,09/10/2024 19:11:25,1728486685520,-4,09/10/2024 11:11:25,187004,3,task-icdl,,40526755,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1728506486453,09/10/2024 20:41:26,1728481286453,-7,09/10/2024 06:41:26,187004,3,task-icdl,,40528388,BLIND,11824685,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x633,,,0,Sustained Attention Task Instructions,14,Accurate,2,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
