Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1728585755055,10/10/2024 18:42:35,1728571355055,-4,10/10/2024 10:42:35,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,40546867,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728585758737,10/10/2024 18:42:38,1728571358737,-4,10/10/2024 10:42:38,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,40546867,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,3696.4239999940396,3680.6240000000003,3696.4239999940396,3696.4239999940396,3680.6240000000003,3696.4239999940396,1,3696.4239999940396,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,29
3,1728585758738,10/10/2024 18:42:38,1728571358738,-4,10/10/2024 10:42:38,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#1,40546867,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728585813890,10/10/2024 18:43:33,1728571413890,-4,10/10/2024 10:43:33,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,40546887,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728585815100,10/10/2024 18:43:35,1728571415100,-4,10/10/2024 10:43:35,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,40546887,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1221.8839999940396,1215.484,1221.8839999940396,1221.8839999940396,1215.484,1221.8839999940396,1,1221.8839999940396,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,29
3,1728585815100,10/10/2024 18:43:35,1728571415100,-4,10/10/2024 10:43:35,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#2,40546887,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728585855944,10/10/2024 18:44:15,1728571455944,-4,10/10/2024 10:44:15,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#3,40546906,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728585857245,10/10/2024 18:44:17,1728571457245,-4,10/10/2024 10:44:17,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#3,40546906,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,Retry Instructions,Screen 1,iwrmq7,1,continue,,1304.7079999880789,1299.308,1304.7079999880789,1304.7079999880789,1299.308,1304.7079999880789,1,1304.7079999880789,0,0,,Click To Continue,Continue Button,2,object-2,Retry Instructions,,29
3,1728585857245,10/10/2024 18:44:17,1728571457245,-4,10/10/2024 10:44:17,187004,3,task-lon4,repeat-3dmk#2->-repeat-ku6w#3,40546906,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,778x783,,,0,Retry (Memory),2,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
